"movieID"	"nb.Ratings"	"mean"	"sd"	"max"	"min"	"med"
1	352	3.85	0.94	5	1	4
2	91	3.15	0.99	5	1	3
3	64	3.08	1.25	5	1	3
4	176	3.53	1	5	1	4
5	67	3.28	1.01	5	1	3
6	23	3.52	1.34	5	1	4
7	285	3.83	0.92	5	1	4
8	168	4.02	1.01	5	1	4
9	240	3.9	1.06	5	1	4
10	73	3.81	1.04	5	1	4
11	174	3.87	1.07	5	1	4
12	208	4.38	0.84	5	1	5
13	134	3.37	1.07	5	1	3
14	133	4.02	0.97	5	1	4
15	214	3.75	0.96	5	1	4
16	30	3.1	1.03	5	1	3
17	69	3.07	1.22	5	1	3
18	7	3.29	1.25	5	1	3
19	49	3.98	1.05	5	1	4
20	57	3.47	1.26	5	1	4
21	68	2.74	1.06	5	1	3
22	226	4.2	0.91	5	1	4
23	134	4.07	0.9	5	2	4
24	135	3.39	1.01	5	1	3
25	221	3.46	1.06	5	1	4
26	61	3.38	0.86	5	1	3
27	45	3.04	1.09	5	1	3
28	216	3.92	0.81	5	2	4
29	91	2.78	0.99	5	1	3
30	27	3.93	0.73	5	2	4
31	115	3.57	0.94	5	1	4
32	69	3.84	1.02	5	1	4
33	74	3.43	0.98	5	1	4
34	4	2	0.82	3	1	2
35	7	2.43	1.51	5	1	2
36	10	2.1	0.99	4	1	2
37	7	2.14	1.07	4	1	2
38	94	3	1.07	5	1	3
39	67	3.18	1.01	5	1	3
40	39	2.87	1.08	5	1	3
41	28	2.93	1.09	5	1	3
42	117	3.76	1.19	5	1	4
43	37	2.95	0.85	4	1	3
44	58	3.33	1	5	1	3
45	61	4.05	0.9	5	1	4
46	20	3.5	1.05	5	1	4
47	101	3.52	1.08	5	1	4
48	92	4.14	0.92	5	1	4
49	68	3.34	0.92	5	1	3
50	462	4.36	0.9	5	1	5
51	62	3.45	1.18	5	1	4
52	70	3.8	0.96	5	1	4
53	93	3.02	1.33	5	1	3
54	73	3.27	0.87	5	1	3
55	121	3.7	1.06	5	1	4
56	288	4.09	1.12	5	1	4
57	32	3.94	1.16	5	1	4
58	129	3.65	0.85	5	1	4
59	56	4.18	0.99	5	1	4
60	54	4.04	1.05	5	1	4
61	43	3.74	1.03	5	1	4
62	96	3.11	1.01	5	1	3
63	59	3.1	0.92	5	1	3
64	207	4.43	0.77	5	1	5
65	83	3.59	0.98	5	1	4
66	121	3.59	0.91	5	1	4
67	81	3	1.24	5	1	3
68	98	3.4	1.12	5	1	3
69	240	3.83	1.1	5	1	4
70	195	3.66	0.9	5	1	4
71	172	3.81	0.97	5	1	4
72	92	3.2	0.94	5	1	3
73	104	3.51	0.82	5	2	3
74	5	2.8	1.64	5	1	2
75	4	3.25	1.5	4	1	4
76	40	3.38	0.95	5	1	3.5
77	114	3.3	0.96	5	1	3
78	24	2.42	1.14	5	1	2
79	254	4.02	0.84	5	1	4
80	49	2.63	0.97	5	1	3
81	82	3.54	1.16	5	1	4
82	199	3.74	1.02	5	1	4
83	124	4.15	0.79	5	2	4
84	15	3.07	1.1	5	1	3
85	47	3.02	1.05	5	1	3
86	118	4.01	0.91	5	1	4
87	107	3.88	0.95	5	1	4
88	171	3.53	1.01	5	1	4
89	201	4.17	0.91	5	1	4
90	69	3.01	1.13	5	1	3
91	112	3.54	1.11	5	1	4
92	84	3.67	1.02	5	1	4
93	81	3.77	1.09	5	1	4
94	111	3.14	1.03	5	1	3
95	174	3.83	0.87	5	1	4
96	226	3.99	0.97	5	1	4
97	186	3.75	1.06	5	1	4
98	275	4.26	0.84	5	1	4
99	129	3.64	0.86	5	2	4
100	404	4.18	0.96	5	1	4
101	49	3.18	1.2	5	1	3
102	38	2.97	1.17	5	1	3
103	10	1.9	0.88	3	1	2
104	2	1	0	1	1	1
105	59	2.54	0.95	5	1	3
106	49	2.88	0.99	5	1	3
107	31	3.58	1.06	5	1	4
108	53	3	1.04	5	1	3
109	92	3.48	1.08	5	1	4
110	16	2.75	1.18	5	1	3
111	199	3.5	0.97	5	1	4
112	17	2.41	1.23	5	1	2
113	8	4.25	0.71	5	3	4
114	52	4.42	0.64	5	3	4.5
115	11	3.82	1.4	5	1	4
116	93	3.85	1.06	5	1	4
117	277	3.67	0.99	5	1	4
118	215	3.23	1.06	5	1	3
119	4	4.5	1	5	3	5
