"userID"	"nb.Ratings"	"mean"	"sd"	"max"	"min"	"med"
1	205	3.57	1.26	5	1	4
2	42	3.71	1.11	5	1	4
3	35	2.49	1.17	5	1	2
4	20	4.35	0.93	5	2	5
5	138	2.88	1.39	5	1	3
6	153	3.65	1.02	5	1	4
7	304	3.95	1.06	5	1	4
8	46	3.76	1.29	5	1	4
9	17	4.24	1.03	5	1	4
10	142	4.21	0.58	5	3	4
11	133	3.44	1	5	1	3
12	43	4.4	0.79	5	1	5
13	487	3.19	1.42	5	1	3
14	70	4.06	1.1	5	1	4
15	72	2.78	1.29	5	1	3
16	109	4.33	1.05	5	1	5
17	23	3.04	1.19	5	1	3
18	208	3.92	0.84	5	2	4
19	19	3.53	0.84	5	2	4
20	40	3.12	1.16	5	1	3
21	137	2.66	1.34	5	1	3
22	109	3.31	1.48	5	1	4
23	109	3.54	1	5	1	4
24	52	4.35	0.76	5	3	5
25	61	4.1	0.57	5	3	4
26	84	2.94	0.84	5	1	3
27	21	3.24	0.94	5	2	3
28	55	3.71	0.99	5	1	4
29	25	3.56	0.87	5	2	4
30	31	3.65	1.05	5	1	4
31	30	3.83	0.99	5	2	4
32	27	3.41	0.75	5	2	3
33	17	3.82	0.53	5	3	4
34	19	4	1.41	5	1	5
35	17	3.24	0.9	5	2	3
36	13	3.77	1.3	5	1	4
37	48	3.69	0.97	5	1	4
38	92	3.65	1.67	5	1	5
39	12	3.58	1	5	2	4
40	26	2.77	1.03	4	1	3
41	44	3.77	0.86	5	2	4
42	142	3.73	1.09	5	1	4
43	164	3.69	1.03	5	1	4
44	126	3.6	1.04	5	1	4
45	39	3.56	0.91	5	2	4
46	17	3.94	1.03	5	2	4
47	14	3.71	0.83	5	2	4
48	47	3.79	0.95	5	1	4
49	168	2.71	1.26	5	1	3
50	17	3.47	1.5	5	1	4
51	19	3.68	1.11	5	1	4
52	38	4.13	0.74	5	2	4
53	22	3.86	0.89	5	2	4
54	53	3.68	1.17	5	1	4
55	15	3	1.36	5	1	3
56	143	3.57	0.93	5	1	4
57	69	3.49	0.98	5	1	3
58	110	3.84	1.27	5	1	4
59	300	3.99	1.05	5	1	4
60	160	4.06	0.62	5	2	4
61	17	2.88	1.17	5	1	3
62	175	3.32	1.13	5	1	4
63	73	3.16	1.03	5	1	3
64	158	3.6	0.97	5	1	4
65	62	3.95	0.95	5	1	4
66	27	3.52	1.16	5	1	4
67	22	3.68	0.95	5	1	4
68	25	2.8	1.55	5	1	3
69	53	3.96	0.98	5	1	4
70	94	3.46	0.81	5	1	3
71	22	3.95	1.21	5	1	4
72	104	3.78	1.07	5	1	4
73	53	3.7	1.14	5	1	4
74	28	3.75	0.59	5	3	4
75	55	3.29	1.34	5	1	4
76	65	3.58	1.17	5	1	4
77	60	3.58	1.2	5	1	4
78	14	3.07	1.38	5	1	3
79	41	3.98	1.08	5	2	4
80	19	3.89	0.94	5	2	4
81	45	3.31	1.14	5	1	3
82	126	3.1	1.17	5	1	3
83	120	3.41	1.14	5	1	4
84	53	3.85	0.77	5	2	4
85	230	3.54	0.82	5	1	4
86	17	3.41	1.12	5	1	3
87	160	3.78	0.96	5	1	4
88	13	3.85	1.21	5	1	4
89	61	4.2	1.03	5	1	5
90	222	4.25	0.85	5	1	4
91	80	3.89	1.06	5	1	4
92	283	3.24	0.96	5	1	3
93	14	3.21	1.31	5	1	3.5
94	297	3.67	1.02	5	1	4
95	202	3.44	1.12	5	1	4
96	44	4.18	1.02	5	1	4
97	39	4.33	0.96	5	1	5
