"movieID"	"nb.Ratings"	"mean"	"sd"	"max"	"min"	"med"
1	435	3.86	0.93	5	1	4
2	128	3.19	0.96	5	1	3
3	82	3.04	1.23	5	1	3
4	204	3.53	0.96	5	1	4
5	81	3.32	0.95	5	1	3
6	26	3.58	1.3	5	1	4
7	368	3.8	0.98	5	1	4
8	208	4.02	1	5	1	4
9	286	3.89	1.05	5	1	4
10	86	3.85	1	5	1	4
11	218	3.88	1.07	5	1	4
12	253	4.37	0.83	5	1	5
13	177	3.41	1.04	5	1	4
14	169	3.98	1	5	1	4
15	273	3.75	0.98	5	1	4
16	37	3.19	1.05	5	1	3
17	85	3.08	1.18	5	1	3
18	10	2.8	1.32	5	1	3
19	61	3.98	1.02	5	1	4
20	70	3.4	1.23	5	1	4
21	81	2.74	1.03	5	1	3
22	283	4.17	0.96	5	1	4
23	172	4.09	0.86	5	2	4
24	168	3.44	1.01	5	1	4
25	271	3.45	1.05	5	1	4
26	68	3.43	0.87	5	1	3
27	53	3.08	1.11	5	1	3
28	267	3.93	0.81	5	2	4
29	112	2.67	1.03	5	1	3
30	35	3.94	0.87	5	1	4
31	142	3.61	0.9	5	1	4
32	77	3.83	1.03	5	1	4
33	92	3.49	1.05	5	1	4
34	6	2.83	1.47	5	1	2.5
35	10	2.1	1.37	5	1	2
36	12	2.17	0.94	4	1	2
37	8	2.25	1.04	4	1	2
38	111	3.04	1.04	5	1	3
39	84	3.23	1.02	5	1	3
40	54	2.93	1.1	5	1	3
41	34	3.06	1.18	5	1	3
42	143	3.78	1.12	5	1	4
43	40	3	0.88	5	1	3
44	77	3.35	1.01	5	1	3
45	74	4.04	0.9	5	1	4
46	27	3.56	0.93	5	1	4
47	126	3.58	1.08	5	1	4
48	115	4.1	0.98	5	1	4
49	75	3.33	0.91	5	1	3
50	555	4.36	0.88	5	1	5
51	79	3.47	1.13	5	1	4
52	87	3.8	0.91	5	1	4
53	118	2.97	1.32	5	1	3
54	90	3.24	0.84	5	1	3
55	143	3.71	1.02	5	1	4
56	374	4.06	1.14	5	1	4
57	39	3.97	1.16	5	1	4
58	166	3.67	0.84	5	1	4
59	78	4.09	1.02	5	1	4
60	61	4.02	1.07	5	1	4
61	55	3.85	0.99	5	1	4
62	121	3.17	1.02	5	1	3
63	77	3.08	0.97	5	1	3
64	272	4.43	0.77	5	1	5
65	107	3.55	0.94	5	1	4
66	147	3.56	0.92	5	1	4
67	103	3.05	1.22	5	1	3
68	127	3.41	1.11	5	1	4
69	303	3.84	1.08	5	1	4
70	240	3.65	0.89	5	1	4
71	201	3.78	0.98	5	1	4
72	119	3.14	0.99	5	1	3
73	124	3.46	0.84	5	1	3
74	7	3	1.41	5	1	3
75	5	3	1.41	4	1	4
76	51	3.41	0.88	5	1	4
77	145	3.28	0.94	5	1	3
78	32	2.5	1.11	5	1	2.5
79	321	4.04	0.81	5	1	4
80	66	2.77	1	5	1	3
81	106	3.56	1.13	5	1	4
82	248	3.71	1.02	5	1	4
83	162	4.12	0.82	5	1	4
84	17	3.06	1.03	5	1	3
85	57	3.04	1.07	5	1	3
86	143	3.94	0.98	5	1	4
87	130	3.91	0.95	5	1	4
88	199	3.53	1.04	5	1	4
89	263	4.16	0.89	5	1	4
90	91	3.02	1.1	5	1	3
91	139	3.56	1.09	5	1	4
92	100	3.61	1	5	1	4
93	108	3.73	1.07	5	1	4
94	132	3.11	1.05	5	1	3
95	208	3.83	0.91	5	1	4
96	276	4.01	0.97	5	1	4
97	241	3.8	1.04	5	1	4
98	362	4.3	0.81	5	1	4
99	166	3.7	0.9	5	1	4
100	485	4.15	0.98	5	1	4
101	72	3.24	1.18	5	1	3
102	50	3.08	1.1	5	1	3
103	13	1.85	0.9	3	1	2
104	3	1.67	1.15	3	1	1
105	74	2.57	0.97	5	1	3
106	63	2.92	1.04	5	1	3
107	41	3.49	1.14	5	1	4
108	63	3.05	1.08	5	1	3
109	126	3.43	1.11	5	1	4
110	30	2.47	1.11	5	1	2.5
111	261	3.49	0.96	5	1	4
112	19	2.53	1.22	5	1	3
113	8	4.25	0.71	5	3	4
114	61	4.49	0.62	5	3	5
115	15	3.73	1.22	5	1	4
116	115	3.82	1.06	5	1	4
117	356	3.68	0.98	5	1	4
118	274	3.23	1.11	5	1	3
119	4	4.5	1	5	3	5
120	63	2.32	1.09	5	1	2
121	403	3.42	1.12	5	1	4
122	101	2.33	1.1	5	1	2
123	113	3.24	0.99	5	1	3
124	178	4.05	0.92	5	1	4
125	233	3.56	0.99	5	1	4
126	93	3.8	1.05	5	1	4
127	388	4.29	0.93	5	1	5
128	61	3.54	1.06	5	1	4
129	126	3.82	0.96	5	1	4
130	22	2.27	1.32	5	1	2
131	84	3.75	1.05	5	1	4
132	233	4.12	0.91	5	1	4
133	166	3.87	1.05	5	1	4
134	184	4.28	0.86	5	2	5
135	249	3.98	1.02	5	1	4
136	101	4.12	0.91	5	1	4
137	159	3.93	1.03	5	1	4
138	19	2.58	1.39	5	1	3
139	48	2.79	0.94	5	1	3
140	57	3.23	1.1	5	1	3
141	70	3.49	0.74	5	2	4
142	54	3.13	1.01	5	1	3
143	212	3.74	1.17	5	1	4
144	228	3.88	0.92	5	1	4
145	62	2.45	1.11	5	1	3
146	9	2.67	1.12	4	1	3
147	179	3.46	1.08	5	1	4
148	120	3.19	1.01	5	1	3
149	23	3	1.24	5	1	3
150	151	3.83	1.06	5	1	4
151	308	3.62	1.09	5	1	4
152	78	3.67	1	5	1	4
153	231	3.78	0.94	5	1	4
154	168	3.77	0.97	5	1	4
155	94	3.11	1.13	5	1	3
156	140	3.98	0.99	5	1	4
157	120	3.66	1.02	5	1	4
158	57	2.54	0.89	5	1	2
159	96	3.29	0.85	5	1	3
160	62	3.45	1.07	5	1	4
161	208	3.5	1.05	5	1	4
162	103	3.55	1.01	5	1	3
163	89	3.54	0.94	5	1	4
164	140	3.59	0.93	5	1	4
165	60	4.12	0.87	5	1	4
166	57	4.14	0.72	5	3	4
167	60	2.95	0.93	5	1	3
168	303	4.09	0.96	5	1	4
169	113	4.46	0.83	5	1	5
170	116	4.16	0.95	5	1	4
171	60	3.87	1.03	5	1	4
172	342	4.19	0.94	5	1	4
173	308	4.18	0.99	5	1	4
174	396	4.28	0.87	5	1	4
175	201	3.85	1.08	5	1	4
176	267	3.96	0.93	5	1	4
177	127	3.87	0.93	5	1	4
178	117	4.35	0.72	5	2	4
179	212	3.91	1.16	5	1	4
180	208	4.06	0.97	5	1	4
181	485	3.98	0.93	5	1	4
182	211	3.95	0.95	5	1	4
183	285	4.05	0.92	5	1	4
184	111	3.44	1.18	5	1	4
185	231	4.11	0.91	5	1	4
186	243	3.83	0.92	5	1	4
187	203	4.18	0.92	5	1	4
188	164	3.68	0.96	5	1	4
189	63	4.11	0.92	5	1	4
190	118	4.15	0.89	5	1	4
191	261	4.17	0.81	5	1	4
