"movieID"	"nb.Ratings"	"mean"	"sd"	"max"	"min"	"med"
1	1565	4.14	0.86	5	1	4
2	535	3.18	0.98	5	1	3
3	370	3.02	1.08	5	1	3
4	132	2.69	1.01	5	1	3
5	220	3.03	1.03	5	1	3
6	716	3.88	0.94	5	1	4
7	318	3.39	0.96	5	1	3
8	51	2.96	0.96	5	1	3
9	76	2.78	1.08	5	1	3
10	678	3.58	0.89	5	1	4
11	769	3.8	0.85	5	1	4
12	121	2.34	1.2	5	1	2
13	76	3.21	1	5	1	3
14	121	3.51	0.85	5	1	4
15	110	2.46	1.23	5	1	3
16	514	3.81	0.89	5	1	4
17	639	4.05	0.89	5	1	4
18	115	3.38	0.98	5	1	3
19	310	2.41	1.15	5	1	2
20	127	2.54	0.92	4	1	3
21	1015	3.64	0.94	5	1	4
22	274	3.4	0.98	5	1	3
23	103	2.83	0.96	5	1	3
24	478	3.22	1.06	5	1	3
25	740	3.68	1.08	5	1	4
26	78	3.54	0.99	5	1	4
27	50	2.84	0.96	5	1	3
28	134	4.08	0.87	5	1	4
29	324	4.03	1.02	5	1	4
30	61	3.54	1.01	5	1	3
31	102	3.13	0.96	5	1	3
32	1180	3.94	0.96	5	1	4
33	3	2.67	0.58	3	2	3
34	1305	3.9	1.04	5	1	4
35	52	3.27	0.89	5	1	3
36	692	3.97	0.87	5	1	4
37	8	3.5	1.41	5	1	4
38	19	2.79	1.44	5	1	2
39	1036	3.64	0.95	5	1	4
40	23	3.96	0.82	5	2	4
41	186	3.95	0.85	5	1	4
42	176	2.85	1.01	5	1	3
43	128	3.43	0.92	5	1	4
44	243	2.84	1.03	5	1	3
45	410	3.42	1.02	5	1	3.5
46	125	3.07	0.96	5	1	3
47	882	4.11	0.96	5	1	4
48	273	2.98	1.07	5	1	3
49	19	3.68	0.95	5	2	4
50	1363	4.52	0.75	5	1	5
52	336	3.65	0.89	5	1	4
53	8	4.75	0.46	5	4	5
54	33	2.52	1.2	5	1	2
55	33	3.18	1.13	5	1	3
56	7	1.86	1.21	4	1	1
57	73	3.4	0.98	5	1	3
58	374	4.04	0.93	5	1	4
59	7	2.86	1.46	5	1	3
60	270	3.18	1.05	5	1	3
61	51	3.08	0.91	5	1	3
62	416	3.7	1.03	5	1	4
63	85	2.78	1.06	5	1	3
64	62	2.29	0.91	4	1	2
65	112	2.11	1.13	5	1	2
66	75	1.63	0.78	4	1	1
67	4	3.25	0.96	4	2	3.5
68	47	3.43	0.9	5	1	4
69	247	3.65	1.04	5	1	4
70	699	3.18	1.19	5	1	3
71	71	2.1	1.06	5	1	2
72	65	3.71	1.06	5	1	4
73	164	3.88	1	5	1	4
74	96	3.12	1.05	5	1	3
75	12	1.92	1.08	4	1	1.5
76	144	2.9	1.05	5	1	3
77	24	3.88	0.74	5	2	4
78	39	3.28	1.02	5	1	3
79	85	2.52	1.02	5	1	3
80	39	3.87	0.77	5	2	4
81	134	3.14	1.14	5	1	3
82	64	3.95	0.98	5	1	4
83	27	3.7	0.91	5	2	4
84	16	3	1.32	5	1	3
85	152	3.32	0.97	5	1	3
86	181	3.38	0.92	5	1	3
87	61	2.2	1.03	5	1	2
88	155	2.94	1.04	5	1	3
89	165	3.08	0.87	5	1	3
90	4	3.75	1.26	5	2	4
92	73	2.33	1.01	5	1	2
93	63	2.33	0.93	5	1	2
94	145	3.71	0.96	5	1	4
95	487	2.89	1.05	5	1	3
96	9	4	1	5	2	4
97	33	3.67	1.34	5	1	4
98	3	2.33	0.58	3	2	2
99	38	3.53	0.98	5	1	4
100	91	3.03	0.97	5	1	3
101	184	3.88	0.92	5	1	4
102	47	1.98	0.97	4	1	2
103	26	3.15	1.12	5	1	3
104	526	3.55	1.14	5	1	4
105	299	3.25	1.15	5	1	3
106	10	3.4	1.58	5	1	4
107	200	3.15	1.09	5	1	3
108	7	2.86	1.57	5	1	3
110	1839	4.23	0.94	5	1	4
111	959	4.21	0.85	5	1	4
112	433	3.46	0.92	5	1	4
113	36	3.03	0.77	5	1	3
114	9	3	1	5	2	3
116	34	4.18	1.06	5	1	4
117	69	3.58	0.81	5	2	4
118	53	3.09	1.11	5	1	3
119	10	2.5	1.35	5	1	2.5
120	2	3	0	3	3	3
121	32	4.09	0.64	5	3	4
122	149	2.72	0.99	5	1	3
123	91	3.84	1.09	5	1	4
124	13	3.23	1.24	5	1	3
125	240	3.82	0.99	5	1	4
126	74	1.97	1.13	5	1	2
127	1	1	NA	1	1	1
128	9	4.11	0.78	5	3	4
129	11	3.36	0.81	4	2	4
130	2	4	1.41	5	3	4
131	16	3.06	0.93	5	1	3
132	70	2.39	1.01	5	1	2
134	2	4	0	4	4	4
135	102	2.82	1.08	5	1	3
136	8	3.25	1.49	5	1	4
137	7	3.14	0.9	5	2	3
138	1	4	NA	4	4	4
139	1	4	NA	4	4	4
140	94	3.2	1.14	5	1	3
141	514	3.54	0.96	5	1	4
142	1	1	NA	1	1	1
144	335	3.32	0.91	5	1	3
145	273	3.32	1.03	5	1	3
146	14	2.71	1.49	5	1	2.5
147	149	3.48	1.08	5	1	4
148	18	2.61	1.09	5	1	2
149	30	3.67	0.88	5	1	4
150	948	4.06	0.79	5	1	4
151	416	3.6	0.93	5	1	4
152	48	2.92	1.15	5	1	3
153	585	2.65	1.04	5	1	3
154	127	3.72	0.93	5	1	4
155	69	3.3	1.08	5	1	3
156	54	3.52	1.06	5	1	3
157	141	2.77	1.17	5	1	3
158	197	2.99	1.02	5	1	3
159	94	3.31	0.84	5	1	3
160	428	2.24	1.01	5	1	2
161	572	3.72	0.85	5	1	4
162	372	4.05	1.03	5	1	4
163	407	3.48	1	5	1	4
164	294	3.57	0.87	5	1	4
165	628	3.54	1	5	1	4
166	50	2.64	1.29	5	1	3
167	3	4	1	5	3	4
168	267	2.93	1.11	5	1	3
169	94	1.99	1.03	5	1	2
170	246	3.18	1.16	5	1	3
171	73	3.6	1.09	5	1	4
172	345	2.61	1.13	5	1	3
173	431	2.33	1.06	5	1	2
174	62	2.32	1.16	5	1	2
175	168	3.48	1.2	5	1	4
176	163	3.86	0.87	5	1	4
177	105	2.71	1.19	5	1	3
178	15	3.6	0.74	5	2	4
179	33	2.03	0.95	5	1	2
180	341	3.57	1.09	5	1	4
181	69	1.68	0.93	4	1	1
182	35	3.17	1.12	5	1	3
183	22	3.5	1.01	5	1	4
184	17	3.06	1.09	5	1	3
185	440	2.88	1.01	5	1	3
186	157	2.8	0.97	5	1	3
187	79	3.33	1.05	5	1	3
188	151	3.24	1.12	5	1	3
189	12	3.58	0.9	5	2	3.5
190	72	3.76	1.11	5	1	4
