"userID"	"nb.Ratings"	"mean"	"sd"	"max"	"min"	"med"
1	40	4.15	0.74	5	3	4
2	87	3.68	1.02	5	1	4
3	41	3.8	1.03	5	1	4
4	20	4.15	1.09	5	1	4
5	164	3.21	1.13	5	1	3
6	60	3.88	0.76	5	2	4
7	26	4.31	0.74	5	3	4
8	107	3.8	0.92	5	2	4
9	82	3.66	0.8	5	2	4
10	298	4.12	0.85	5	2	4
11	105	3.23	1.32	5	1	3
12	15	4.07	0.96	5	2	4
13	85	3.39	0.82	5	1	3
14	20	3.6	1.31	5	1	4
15	149	3.36	0.85	5	1	4
16	25	3.2	1.32	5	1	3
17	173	4.06	0.8	5	2	4
18	223	3.65	1.33	5	1	4
19	189	3.62	1.1	5	1	4
20	17	3.94	0.83	5	2	4
21	13	2.85	1.46	5	1	3
22	228	3.04	1	5	1	3
23	229	3.33	1.04	5	1	3
24	98	3.9	0.89	5	1	4
25	64	3.67	1.14	5	1	4
26	315	2.92	1.02	5	1	3
27	53	4.13	1.24	5	1	5
28	90	3.76	0.85	5	2	4
29	87	3.54	1.05	5	1	3
30	33	3.45	0.9	5	2	3
31	79	3.76	0.98	5	1	4
32	37	3.49	1.02	5	1	4
33	295	3.52	1.04	5	1	4
34	117	3.85	1.09	5	1	4
35	151	3.5	1.03	5	1	4
36	245	4.19	0.8	5	1	4
37	38	3.58	1.48	5	1	4
38	77	3.64	0.79	5	2	4
39	51	3.63	1.3	5	1	4
40	72	3.44	1.19	5	1	4
41	18	3.61	1.61	5	1	4
42	176	3.7	0.78	5	1	4
43	16	4.19	1.05	5	1	4
44	152	3.65	1.16	5	1	4
45	234	3.01	1.11	5	1	3
46	25	4.52	1.33	5	1	5
47	18	3.94	0.8	5	2	4
48	466	3.07	0.84	5	1	3
49	79	3.67	0.87	5	1	4
50	32	3.12	0.87	5	1	3
51	26	3.81	1.02	5	1	4
52	56	3.48	1.18	5	1	4
53	511	4.24	0.96	5	1	5
54	25	4.04	0.73	5	2	4
55	17	4.12	0.78	5	3	4
56	49	4	1.14	5	1	4
57	51	2.94	1.38	5	1	4
58	324	3.98	1	5	1	4
59	160	3.47	0.83	5	1	4
60	53	3.49	1.4	5	1	4
61	25	2.72	1.06	4	1	3
62	384	3.51	0.85	5	1	4
63	68	3.49	1.17	5	1	3.5
64	21	4.1	0.89	5	2	4
65	86	4.37	0.85	5	1	5
66	17	3.94	1.56	5	1	5
67	49	4.29	0.84	5	2	4
68	52	3.67	1.28	5	1	4
69	51	4.16	0.88	5	2	4
70	39	3.82	1.25	5	1	4
71	20	3.85	0.67	5	2	4
72	31	3.77	1.09	5	1	4
73	200	3.36	1.03	5	1	3
74	35	4.03	1.12	5	1	4
75	130	3.96	1.04	5	1	4
76	59	4.17	0.89	5	2	4
77	24	2.88	1.3	5	1	3
78	107	3.63	0.91	5	1	4
79	24	3.75	1.11	5	1	4
80	35	3.94	1.03	5	2	4
81	66	4.44	0.96	5	1	5
82	87	4.01	0.78	5	2	4
83	76	3.49	1.32	5	1	4
84	21	3.95	1.5	5	1	5
85	35	3.09	1.29	5	1	3
86	35	4.46	0.7	5	2	5
87	41	2.85	1.89	5	1	3
88	59	4.2	0.98	5	1	4
89	17	3.12	1.69	5	1	4
90	168	3.5	0.85	5	1	3
91	33	4.82	0.46	5	3	5
92	315	2.7	1.35	5	1	3
93	171	3.02	1.3	5	1	3
94	15	3.87	0.83	5	2	4
95	78	3.59	1.01	5	1	4
96	67	3.57	0.8	5	1	4
97	116	4.48	0.63	5	2	5
98	15	3.67	1.11	5	1	4
99	80	3.1	1.34	5	1	3
100	56	2.95	0.9	5	1	3
101	83	4.67	0.59	5	3	5
102	109	3.14	1.53	5	1	3
103	82	4.18	0.92	5	2	4
104	36	3.5	0.97	5	2	3.5
105	49	4.39	0.73	5	3	5
106	36	4	0.79	5	2	4
107	90	3.72	0.69	5	2	4
108	28	3.32	1.19	5	1	3.5
109	60	4.03	0.61	5	2	4
110	63	3.22	1.22	5	1	3
111	75	3.69	0.77	5	2	4
112	44	4.3	1.13	5	1	5
113	47	3.49	1.2	5	1	4
114	76	3.61	0.94	5	1	4
115	24	3.96	1	5	2	4
116	66	3.88	0.92	5	2	4
117	370	3.26	1.08	5	1	3
118	169	3.78	0.82	5	1	4
119	74	3.49	0.91	5	1	3
120	44	3.73	0.97	5	1	4
121	56	4.43	0.93	5	1	5
122	43	3	1.18	5	1	3
123	458	3.42	0.81	5	1	3
124	18	4.22	0.65	5	3	4
125	53	4.04	0.76	5	2	4
126	42	4.17	1.23	5	1	5
127	136	3.88	0.84	5	2	4
128	17	4.41	0.94	5	2	5
129	127	4.04	0.83	5	2	4
130	111	4.35	1.1	5	1	5
131	232	3.37	1.1	5	1	4
132	60	3.98	1.03	5	1	4
133	131	3.77	1.09	5	1	4
134	141	2.74	1.34	5	1	3
135	56	3.79	1.49	5	1	5
136	292	3.15	1.35	5	1	3
137	154	3.61	0.71	5	1	4
138	48	4.54	0.68	5	3	5
139	186	3.87	1.07	5	1	4
140	40	3.73	1.13	5	1	4
141	16	3.94	1.06	5	1	4
142	32	3.44	1.16	5	1	4
143	54	3.5	1.26	5	1	4
144	22	3.5	1.63	5	1	4
145	30	2.97	1.3	5	1	3
146	334	3.75	1.11	5	1	4
147	136	3.54	0.93	5	1	4
148	462	3.73	0.98	5	1	4
149	443	3.94	0.95	5	1	4
150	172	4.03	0.75	5	2	4
151	355	3.64	0.97	5	1	4
152	17	4.12	1.17	5	1	4
153	18	4	1.28	5	1	4.5
154	34	2.97	1.06	5	1	3
155	75	2.84	1.44	5	1	3
156	102	4.27	0.66	5	3	4
157	322	3.69	0.78	5	2	4
158	15	4	1	5	2	4
159	29	3.72	0.8	5	2	4
160	16	3.56	0.63	5	3	3.5
161	228	4.47	0.71	5	1	5
162	78	4.06	1.01	5	1	4
163	410	2.21	1.09	5	1	2
164	19	4.53	0.61	5	3	5
165	81	3.98	0.85	5	2	4
166	314	3.71	0.97	5	1	4
167	43	2.79	1.19	5	1	3
168	17	3.71	1.21	5	1	4
169	424	3.61	0.99	5	1	4
170	61	4.02	1.12	5	1	4
171	19	3.95	0.62	5	3	4
172	14	3.36	0.63	4	2	3
173	437	3.97	0.91	5	1	4
174	77	3.64	1.02	5	1	4
175	246	3.98	1.11	5	1	4
176	59	3.54	1.1	5	1	4
177	28	4.21	0.79	5	3	4
178	92	3.86	0.78	5	2	4
179	85	2.64	1.2	5	1	3
180	40	3.67	0.76	5	2	4
181	232	3.63	1.09	5	1	4
182	70	3.86	1.22	5	1	4
183	75	4.11	1.2	5	1	5
184	61	4.11	0.98	5	2	4
185	43	3.51	0.67	5	2	4
186	88	4.22	0.76	5	2	4
187	306	4.1	0.75	5	1	4
188	52	3.15	1.04	5	1	3
189	25	3.88	1.33	5	1	4
190	115	3.76	1.1	5	1	4
191	23	3.35	1.15	5	1	3
192	418	3.11	1.19	5	1	3
193	178	3.69	0.86	5	1	4
194	40	3.85	0.95	5	1	4
195	624	3.88	1.03	5	1	4
196	25	4.04	0.84	5	3	4
197	18	3.94	1.11	5	2	4
198	291	3.76	0.98	5	1	4
199	313	3.32	1.05	5	1	3
200	18	3.33	1.28	5	1	3.5
201	64	3.92	0.96	5	1	4
202	515	3.24	1.08	5	1	3
203	97	2.21	1.13	5	1	2
204	340	3.57	0.98	5	1	4
205	117	4.03	1.09	5	1	4
206	25	3.4	1.71	5	1	4
207	19	3.32	1.11	5	1	4
208	148	3.64	1.04	5	1	4
209	22	3.09	0.87	5	2	3
210	91	4.18	1.28	5	1	5
211	24	3.88	1.3	5	1	4
212	79	3.89	0.66	5	2	4
213	17	4.24	0.75	5	3	4
214	126	3.1	1.14	5	1	3
215	25	4.6	0.71	5	2	5
216	599	3.25	1.01	5	1	3
217	17	3.76	1.2	5	1	4
218	57	3.09	1.24	5	1	3
219	29	3.31	0.89	5	1	3
220	80	4.28	0.89	5	1	5
221	25	3.2	1.08	5	1	3
222	64	4.14	0.79	5	2	4
223	185	3.39	1.26	5	1	3
224	151	3.39	1.08	5	1	3
225	375	3.4	1.11	5	1	4
226	17	3.76	1.03	5	2	4
227	17	2.88	0.99	4	1	3
228	22	3.95	1.05	5	1	4
229	163	3.49	1.04	5	1	4
230	138	4.09	0.9	5	1	4
231	79	4.18	1.22	5	1	5
232	72	3.65	1.22	5	1	4
233	43	4.58	0.7	5	2	5
234	23	4.26	0.96	5	1	4
235	329	4.09	0.91	5	1	4
236	45	3.76	0.98	5	1	4
237	126	3.35	1.06	5	1	4
238	204	3.76	0.85	5	2	4
239	53	4.15	0.99	5	1	4
240	115	3.31	0.85	5	1	3
241	42	4.02	0.92	5	2	4
242	226	3.21	1.03	5	1	3
243	22	3.68	1.29	5	1	4
244	65	4.06	0.88	5	1	4
245	597	2.65	0.96	5	1	3
246	14	4.14	0.86	5	3	4
247	24	4	0.98	5	2	4
248	26	4.31	0.84	5	3	5
249	83	3.93	1.22	5	1	4
250	16	3.75	0.86	5	2	4
251	60	3.58	0.77	5	2	4
252	43	4	0.72	5	2	4
253	38	3.97	1	5	1	4
254	13	3.62	0.77	5	2	4
255	185	3.99	0.63	5	2	4
256	70	3.94	0.98	5	2	4
257	39	4.59	0.91	5	1	5
258	100	3.84	1.08	5	1	4
259	107	4	0.86	5	1	4
260	116	3.27	1.14	5	1	3
261	274	3.61	1.02	5	1	4
262	89	3.34	1.03	5	1	3
263	73	3.7	1.14	5	1	4
264	387	2.79	1	5	1	3
265	70	4.24	0.89	5	1	4
266	36	4.53	0.7	5	3	5
267	92	3.49	0.94	5	1	4
268	200	3.36	1.1	5	1	4
269	26	3.85	1.35	5	1	4
270	100	4.24	0.83	5	1	4
271	247	3.91	0.93	5	1	4
272	374	3.67	1.22	5	1	4
273	145	3.74	0.9	5	1	4
274	107	4.31	0.78	5	1	4
275	70	4.21	1.09	5	1	5
276	16	3.5	1.1	5	2	4
277	13	3.77	0.83	5	2	4
278	153	3.97	0.95	5	1	4
279	35	2.97	1.04	5	1	3
280	39	3.92	1.11	5	1	4
281	90	3.9	1.1	5	1	4
282	25	3.56	0.82	5	2	4
283	22	4.95	0.21	5	4	5
284	347	2.97	1.35	5	1	3
285	97	4.23	0.9	5	1	4
286	34	3.85	0.96	5	2	4
287	80	3.67	0.71	5	2	4
288	50	4.56	0.61	5	3	5
289	53	3.91	0.88	5	1	4
290	25	3.32	1.35	5	1	3
291	82	4.04	0.76	5	1	4
292	31	3.77	0.96	5	2	4
293	239	3.27	1.48	5	1	4
294	39	3.51	1.1	5	1	4
295	148	3.76	1.2	5	1	4
296	76	3.61	1.57	5	1	4
297	65	3.98	0.93	5	2	4
298	21	3.95	0.8	5	2	4
299	80	4.12	0.89	5	1	4
300	182	4.19	0.93	5	1	4
301	264	3.76	1.17	5	1	4
302	621	2.87	1.22	5	1	3
303	165	3.83	1.2	5	1	4
304	23	3.7	1.26	5	1	4
305	124	2.56	1.47	5	1	2
306	144	3.92	0.76	5	2	4
307	150	4.54	0.92	5	1	5
308	428	3.42	0.87	5	1	4
309	103	4.03	0.69	5	2	4
310	177	3.42	1.26	5	1	4
311	15	4.2	0.86	5	2	4
312	37	3.81	0.62	5	3	4
313	19	4.05	0.91	5	2	4
314	214	3.69	1.11	5	1	4
315	18	3.83	1.15	5	1	4
316	57	4	0.76	5	2	4
317	14	3.57	1.02	5	2	4
318	15	4.13	0.92	5	2	4
319	548	3.31	0.98	5	1	3
320	15	4.27	0.7	5	3	4
321	178	3.31	1.22	5	1	3
322	29	4.38	0.86	5	2	5
323	91	3.76	1.05	5	2	4
324	58	3.36	1.05	5	1	4
325	31	3.97	1.2	5	1	4
326	288	3.31	0.91	5	1	3
327	186	3.68	0.97	5	1	4
328	48	3.1	0.93	5	1	3
329	578	2.72	1.14	5	1	3
330	54	4.02	0.79	5	2	4
331	446	3.79	1.03	5	1	4
332	51	4.31	0.91	5	1	4
333	185	3.39	1.14	5	1	3
334	51	3.9	0.81	5	2	4
335	112	2.43	1.38	5	1	2
336	83	4.3	1.14	5	1	5
337	152	3.45	1.19	5	1	4
338	277	3.64	1.01	5	1	4
339	91	4.1	0.75	5	1	4
340	82	3.5	0.91	5	1	3
341	11	4.09	1.04	5	2	4
342	95	3.61	0.85	5	1	4
343	235	4.05	0.92	5	1	4
344	71	3.11	1.41	5	1	3
345	18	4.44	0.92	5	2	5
346	211	4.3	0.81	5	1	4
347	78	3.83	1.13	5	1	4
348	70	3.73	0.98	5	1	4
349	196	3.26	1.05	5	1	3
350	50	3.92	0.85	5	1	4
351	77	3.74	1.12	5	1	4
352	645	3.45	1.11	5	1	4
353	18	3.83	1.15	5	1	4
354	42	3.52	1.23	5	1	4
355	324	3.4	1.07	5	1	4
356	12	4.33	0.65	5	3	4
357	43	3.28	1.59	5	1	4
358	56	3.84	0.93	5	2	4
359	39	3.82	0.91	5	1	4
360	53	3.64	0.65	5	2	4
361	21	3.48	1.12	5	1	4
362	41	3.29	1.03	5	1	3
363	34	3.82	1.09	5	1	4
364	25	3.12	1.17	5	1	4
365	38	3.42	1.08	5	1	3
366	206	4.07	0.92	5	1	4
367	19	4.37	0.6	5	3	4
368	234	3.76	0.96	5	1	4
369	68	3.16	1.06	5	1	3
370	44	3.8	1.05	5	1	4
371	58	3.59	1.28	5	1	4
372	128	4.54	0.78	5	1	5
373	18	3.78	0.73	5	3	4
374	42	4.43	0.7	5	3	5
375	44	4.09	0.88	5	1	4
376	92	4.17	0.91	5	1	4
377	101	3.88	0.9	5	2	4
378	26	3.65	1.29	5	1	4
379	48	4.35	0.89	5	1	5
380	101	3.83	1.12	5	1	4
381	26	4.12	1.24	5	1	5
382	49	3.94	1.11	5	1	4
383	16	3.56	1.03	5	1	4
384	19	3.53	1.02	5	2	4
385	111	3.89	1.13	5	1	4
386	202	3.36	1.25	5	1	3
387	49	3.69	0.89	5	2	4
388	43	3.79	1.04	5	1	4
389	56	3.46	1.45	5	1	4
390	163	3.71	1.06	5	1	4
391	55	3.84	1.17	5	1	4
392	377	3.44	1.03	5	1	4
393	59	3.56	0.97	5	1	4
394	24	3.38	0.65	5	3	3
395	18	3.33	1.33	5	1	3.5
396	132	3.59	1.07	5	1	4
397	24	3.92	0.78	5	2	4
398	174	3.8	0.95	5	1	4
399	27	4.11	1.01	5	1	4
400	34	3.94	0.98	5	1	4
401	62	3.85	0.88	5	2	4
402	212	3.54	0.89	5	1	4
403	206	3.8	0.97	5	1	4
404	33	4.21	0.86	5	2	4
405	34	3.74	0.9	5	2	4
406	114	3.26	1.04	5	1	3
407	24	3.58	1.44	5	1	4
408	121	4.35	1.01	5	1	5
409	225	3.96	0.75	5	2	4
410	72	3.92	0.83	5	2	4
411	497	3.26	1.02	5	1	3
412	368	4.39	0.8	5	1	5
413	81	4.41	0.75	5	1	5
414	46	2.98	1.13	5	1	3
415	205	3.87	0.68	5	1	4
416	43	3.65	1.02	5	1	4
417	20	3.95	0.89	5	3	4
418	40	3.65	1.17	5	1	4
419	87	3.9	1.01	5	1	4
420	51	4.45	0.7	5	3	5
421	14	4.07	1.14	5	1	4
422	37	3.38	0.98	5	1	4
423	49	2.51	1.26	5	1	2
424	930	3.73	0.94	5	1	4
425	138	3.72	0.79	5	1	4
426	183	3.8	1.01	5	1	4
427	20	4.2	0.7	5	3	4
428	36	3.86	1.13	5	2	4
429	253	3.42	1.15	5	1	3
430	46	3.96	1.43	5	1	5
431	63	3.73	1.18	5	1	4
432	61	2.8	1.06	5	1	3
433	35	3.2	1.32	5	1	3
434	29	3.83	0.8	5	2	4
435	96	3.86	0.96	5	1	4
436	98	3.74	1.17	5	1	4
437	43	4.3	0.71	5	3	4
438	472	3.54	1.05	5	1	4
439	70	3.93	1.01	5	1	4
440	23	3.7	1.26	5	1	4
441	36	4	0.89	5	2	4
442	331	3.83	1.06	5	1	4
443	22	3.77	1.23	5	1	4
444	94	3.98	0.67	5	2	4
445	214	3.34	1.06	5	1	3
446	42	4.81	0.51	5	3	5
447	28	4.82	0.39	5	4	5
448	18	3.22	1.26	5	1	3
449	39	3.67	1.26	5	1	4
450	38	4.21	0.81	5	2	4
451	164	4.53	0.57	5	3	5
452	95	4.46	0.68	5	2	5
453	298	3.65	1.02	5	1	4
454	195	3.12	1.58	5	1	3
455	20	4.25	0.85	5	2	4
456	128	3.38	0.91	5	1	3
457	187	3.73	0.92	5	1	4
458	34	3.32	0.98	5	1	3
459	25	3.6	1.04	5	2	4
460	34	3.53	1.16	5	1	4
461	389	3.19	1.06	5	1	3
462	145	3.53	0.89	5	1	4
463	93	2.99	1.27	5	1	3
464	63	3.67	1.2	5	1	4
465	27	3.44	1.15	5	1	4
466	141	4.14	0.67	5	1	4
467	51	3.06	1.43	5	1	3
468	19	3.68	1.38	5	1	4
469	37	4.32	0.82	5	2	5
470	50	3.96	1.26	5	1	4
471	74	3.78	1.19	5	1	4
472	36	4.03	1	5	2	4
473	31	4.23	0.96	5	1	4
474	226	3.35	1.27	5	1	3
475	196	3.85	1.02	5	1	4
476	324	3.87	0.95	5	1	4
477	163	3.6	0.77	5	2	4
478	32	3.91	0.93	5	2	4
479	78	3.83	0.95	5	1	4
480	74	3.41	1.02	5	1	3
481	150	3.69	1.04	5	1	4
482	616	3.28	1.04	5	1	3
483	27	3.04	1.16	5	1	3
484	23	3.91	1.16	5	1	4
485	32	4.06	0.67	5	3	4
486	32	4.06	0.98	5	2	4
487	36	3.36	1.1	5	1	3.5
488	17	3.71	1.1	5	1	4
489	18	3.17	1.62	5	1	3
490	57	3.74	1.23	5	1	4
491	20	3.6	1.5	5	1	4
492	24	4	0.93	5	2	4
493	120	3.82	0.92	5	1	4
494	149	4.11	0.97	5	1	4
495	34	3.71	1.14	5	1	4
496	93	4.28	0.98	5	1	5
497	21	3.71	0.85	5	1	4
498	128	3.7	0.77	5	2	4
499	159	3.96	0.93	5	1	4
500	75	3.76	1.25	5	1	4
501	45	3.33	1.41	5	1	3
502	19	3.95	1.22	5	1	4
503	26	4.46	0.99	5	2	5
504	79	3.77	1.11	5	1	4
505	89	4.25	0.68	5	2	4
506	70	3.5	0.85	5	1	3
507	33	3.91	0.8	5	2	4
508	109	3.39	1.05	5	1	4
509	553	3.3	0.93	5	1	3
510	79	3.82	1.12	5	1	4
511	21	3.57	1.08	5	1	3
512	30	3.77	1.19	5	1	4
513	121	3.16	1.1	5	1	4
514	61	4.28	0.93	5	1	5
515	131	3.76	0.85	5	2	4
516	215	2.9	0.89	5	1	3
517	119	3.94	0.95	5	1	4
518	193	4.32	0.76	5	2	4
519	37	3.38	1.11	5	1	4
520	227	4.03	0.91	5	1	4
521	32	4.25	1.02	5	1	5
522	48	3.83	1.1	5	1	4
523	75	3.97	0.82	5	2	4
524	778	3.61	1.18	5	1	4
525	32	3.94	0.88	5	1	4
526	37	3.86	0.75	5	3	4
527	19	4	1.45	5	1	5
528	449	3.35	1.07	5	1	3
529	86	4.13	0.96	5	1	4
530	84	4.06	0.96	5	1	4
531	639	3.17	1.01	5	1	3
532	36	3.94	1.04	5	1	4
533	465	3.4	1.14	5	1	4
534	84	3.7	1.16	5	1	4
535	20	3.55	1.39	5	1	4
536	155	3.95	1.06	5	1	4
537	69	4.36	0.62	5	3	4
538	40	4.47	0.6	5	3	5
539	107	3.92	0.81	5	1	4
540	27	3.11	1.67	5	1	3
541	146	3.19	1.35	5	1	3
542	27	3.85	0.82	5	2	4
543	487	4.08	0.91	5	1	4
544	61	3.79	1.21	5	1	4
545	22	3.59	0.85	5	2	4
546	169	3.22	1.46	5	1	4
547	63	3.86	1.03	5	1	4
548	90	3.18	1.07	5	1	3
549	899	3.73	1.27	5	1	4
550	736	3.58	1.05	5	1	4
551	175	3.85	0.75	5	2	4
552	72	3.78	0.91	5	1	4
553	46	4.17	0.82	5	2	4
554	34	3.65	1.01	5	2	4
555	29	3.86	0.88	5	2	4
556	183	3.48	1.12	5	1	4
557	41	3.83	0.8	5	2	4
558	229	3.69	0.92	5	1	4
559	21	3	1.22	5	1	3
560	111	3.87	0.95	5	2	4
561	27	3.93	1.11	5	1	4
562	27	3.67	1.14	5	1	4
563	272	2.75	1.21	5	1	3
564	40	4.03	1.03	5	2	4
565	18	3.39	1.04	5	1	4
566	417	2.63	0.94	5	1	3
567	50	4.52	0.65	5	3	5
568	17	4.47	0.8	5	2	5
569	91	3.55	0.89	5	1	4
570	174	3.32	0.91	5	1	4
571	111	3.7	1.11	5	1	4
572	13	3.15	1.34	5	1	3
573	30	4.03	1.3	5	1	4.5
574	14	4.07	1.27	5	1	5
575	120	3.62	0.8	5	2	4
576	47	3.7	1.1	5	1	4
577	125	4.47	0.86	5	1	5
578	23	3.96	0.93	5	2	4
579	51	3.84	0.95	5	1	4
580	36	3.17	1.4	5	1	3
581	38	3.76	0.75	5	1	4
582	57	4.23	0.87	5	2	4
583	142	4.06	0.96	5	1	4
584	29	4.24	0.64	5	3	4
585	113	3.43	0.97	5	1	4
586	26	4.54	0.71	5	3	5
587	305	3.01	1.08	5	1	3
588	342	4.07	0.87	5	1	4
589	20	4.25	0.85	5	2	4
590	124	4.15	0.89	5	1	4
591	194	3.21	1.28	5	1	4
592	21	4.33	0.8	5	3	5
593	81	3.72	0.94	5	1	4
594	121	4.28	1.14	5	1	5
595	79	3.94	0.88	5	2	4
596	28	2.89	1.29	5	1	3
597	42	4.48	0.63	5	3	5
598	30	3.27	0.91	4	1	4
599	21	3.81	1.08	5	1	4
600	15	3.6	1.3	5	1	4
601	278	3.21	1	5	1	3
602	114	3.53	1.56	5	1	4
603	49	3.57	0.79	5	2	4
604	230	3.08	0.89	5	1	3
605	93	4.04	1.06	5	1	4
606	20	4.25	1.02	5	2	5
607	15	4.4	0.74	5	3	5
608	138	3.13	1.01	5	1	3
609	44	4.39	0.69	5	3	4.5
610	97	3.46	1.44	5	1	4
611	91	3.98	0.65	5	2	4
612	32	3.41	1.04	5	1	3
613	80	3.55	1.01	5	1	4
614	42	3.74	1.11	5	1	4
615	74	4.15	0.68	5	2	4
616	31	3.97	1.02	5	2	4
617	22	4.09	0.75	5	3	4
618	35	3	1.08	5	1	3
619	16	4	1.03	5	2	4
620	132	3.3	1.05	5	1	3
621	173	3.09	1.37	5	1	3
622	48	3.92	0.79	5	2	4
623	134	4.27	0.82	5	1	4
624	286	3.71	1.01	5	1	4
625	36	4.08	0.87	5	1	4
626	53	3.98	0.95	5	1	4
627	26	3.62	1.24	5	1	4
628	36	3.86	0.76	5	3	4
629	178	3.32	1.03	5	1	3
630	93	4.25	0.8	5	2	4
631	247	3.77	1.06	5	1	4
632	27	3.81	0.79	5	2	4
633	35	3.57	1.14	5	1	4
634	52	4.04	1.05	5	1	4
635	136	4.24	0.82	5	1	4
636	70	4.07	0.91	5	2	4
637	287	3.8	1.07	5	1	4
638	92	4.17	0.92	5	1	4
639	299	3.72	0.62	5	1	4
640	16	4.44	1.21	5	1	5
641	90	4	1.03	5	1	4
642	18	4.06	1.06	5	1	4
643	52	2.63	1.1	5	1	3
644	88	3.15	1.66	5	1	4
645	35	4.51	0.78	5	2	5
646	198	3.84	0.9	5	1	4
647	173	3.13	1.28	5	1	3
648	133	3.65	1.02	5	1	4
649	54	3.67	1.36	5	1	4
650	32	3.84	1.08	5	1	4
651	372	3.59	1	5	1	4
652	98	2.86	1.32	5	1	3
653	15	4.13	0.99	5	2	4
654	145	3.44	0.93	5	1	4
655	323	2.79	1.11	5	1	3
656	132	3.92	0.94	5	1	4
657	48	4.04	0.8	5	2	4
