"movieID"	"nb.Ratings"	"mean"	"sd"	"max"	"min"	"med"
1	1980	4.15	0.85	5	1	4
2	658	3.19	0.98	5	1	3
3	456	3.03	1.08	5	1	3
4	166	2.73	1	5	1	3
5	284	3.01	1.03	5	1	3
6	895	3.87	0.94	5	1	4
7	430	3.4	0.98	5	1	3
8	64	2.98	0.97	5	1	3
9	98	2.68	1.05	5	1	3
10	844	3.55	0.89	5	1	4
11	978	3.79	0.87	5	1	4
12	155	2.39	1.21	5	1	2
13	95	3.24	1.05	5	1	3
14	148	3.53	0.88	5	1	4
15	139	2.48	1.22	5	1	3
16	646	3.8	0.9	5	1	4
17	795	4.03	0.9	5	1	4
18	150	3.33	1.03	5	1	3
19	374	2.44	1.16	5	1	2
20	153	2.53	0.9	4	1	3
21	1275	3.63	0.94	5	1	4
22	352	3.37	0.98	5	1	3
23	121	2.85	1.01	5	1	3
24	595	3.19	1.06	5	1	3
25	923	3.68	1.08	5	1	4
26	89	3.52	0.98	5	1	4
27	58	2.9	0.95	5	1	3
28	171	4.05	0.87	5	1	4
29	387	4.06	0.99	5	1	4
30	74	3.65	1.01	5	1	4
31	135	3.1	0.95	5	1	3
32	1438	3.94	0.97	5	1	4
33	4	3	0.82	4	2	3
34	1661	3.89	1.04	5	1	4
35	67	3.28	0.92	5	1	3
36	882	3.95	0.87	5	1	4
37	8	3.5	1.41	5	1	4
38	26	2.88	1.48	5	1	3
39	1313	3.62	0.97	5	1	4
40	29	3.97	0.87	5	2	4
41	227	3.96	0.83	5	1	4
42	214	2.86	1.01	5	1	3
43	158	3.46	0.94	5	1	4
44	297	2.8	1.06	5	1	3
45	515	3.42	1	5	1	4
46	152	3.05	0.92	5	1	3
47	1087	4.11	0.94	5	1	4
48	361	2.96	1.09	5	1	3
49	25	3.76	1.01	5	2	4
50	1684	4.51	0.75	5	1	5
52	410	3.65	0.91	5	1	4
53	8	4.75	0.46	5	4	5
54	40	2.55	1.13	5	1	2
55	43	3.12	1.18	5	1	3
56	9	2	1.32	4	1	1
57	90	3.38	0.99	5	1	3
58	472	4.07	0.9	5	1	4
59	8	2.75	1.39	5	1	3
60	336	3.2	0.99	5	1	3
61	67	3	0.94	5	1	3
62	519	3.69	1.02	5	1	4
63	104	2.85	1.1	5	1	3
64	77	2.29	0.9	4	1	2
65	134	2.07	1.09	5	1	2
66	92	1.66	0.86	4	1	1
67	4	3.25	0.96	4	2	3.5
68	56	3.48	0.87	5	1	4
69	310	3.65	1.03	5	1	4
70	870	3.15	1.18	5	1	3
71	93	2.1	1.04	5	1	2
72	89	3.69	1.02	5	1	4
73	212	3.83	1	5	1	4
74	116	3.01	1.09	5	1	3
75	12	1.92	1.08	4	1	1.5
76	171	2.88	1.04	5	1	3
77	33	3.76	0.83	5	2	4
78	48	3.25	1.08	5	1	3
79	107	2.57	1.01	5	1	3
80	50	3.84	0.79	5	2	4
81	161	3.18	1.13	5	1	3
82	83	3.84	1.08	5	1	4
83	32	3.72	0.85	5	2	4
84	19	3	1.25	5	1	3
85	184	3.39	1.01	5	1	4
86	223	3.4	0.93	5	1	3
87	74	2.19	0.97	5	1	2
88	184	2.93	1.05	5	1	3
89	216	3.05	0.9	5	1	3
90	6	3.67	1.03	5	2	4
92	88	2.34	1.02	5	1	2.5
93	82	2.23	0.99	5	1	2
94	174	3.74	0.97	5	1	4
95	612	2.87	1.05	5	1	3
96	13	3.92	0.86	5	2	4
97	43	3.72	1.26	5	1	4
98	6	2	0.63	3	1	2
99	45	3.42	1.01	5	1	4
100	115	3.04	0.98	5	1	3
101	241	3.88	0.93	5	1	4
102	59	1.83	0.93	4	1	2
103	32	3.25	1.08	5	1	3
104	645	3.53	1.15	5	1	4
105	368	3.25	1.11	5	1	3
106	12	3.58	1.51	5	1	4
107	241	3.16	1.1	5	1	3
108	7	2.86	1.57	5	1	3
110	2307	4.23	0.93	5	1	4
111	1178	4.2	0.87	5	1	4
112	534	3.45	0.95	5	1	4
113	52	3	0.89	5	1	3
114	10	3	0.94	5	2	3
116	39	4.1	1.12	5	1	4
117	77	3.64	0.79	5	2	4
118	65	3.11	1.11	5	1	3
119	13	2.46	1.2	5	1	2
120	3	2.67	0.58	3	2	3
121	36	4.06	0.67	5	3	4
122	186	2.75	0.97	5	1	3
123	111	3.87	1.05	5	1	4
124	14	3.21	1.19	5	1	3
125	302	3.84	0.98	5	1	4
126	91	1.95	1.07	5	1	2
127	1	1	NA	1	1	1
128	12	4.33	0.78	5	3	4.5
129	12	3.42	0.79	4	2	4
130	2	4	1.41	5	3	4
131	16	3.06	0.93	5	1	3
132	87	2.44	1	5	1	2
134	2	4	0	4	4	4
135	130	2.81	1.12	5	1	3
136	8	3.25	1.49	5	1	4
137	11	2.91	1.22	5	1	3
138	2	2.5	2.12	4	1	2.5
139	1	4	NA	4	4	4
140	127	3.11	1.14	5	1	3
141	650	3.54	0.96	5	1	4
142	1	1	NA	1	1	1
144	410	3.38	0.93	5	1	3
145	342	3.3	1.04	5	1	3
146	16	2.88	1.5	5	1	3
147	174	3.52	1.06	5	1	4
148	22	2.68	1.04	5	1	2.5
149	42	3.76	0.88	5	1	4
150	1189	4.07	0.81	5	1	4
151	527	3.59	0.94	5	1	4
152	61	3.02	1.18	5	1	3
153	734	2.64	1.04	5	1	3
154	163	3.72	0.91	5	1	4
155	86	3.4	1.04	5	1	4
156	65	3.57	1.03	5	1	3
157	179	2.7	1.19	5	1	3
158	249	2.98	1.02	5	1	3
159	111	3.31	0.88	5	1	3
160	542	2.23	1.01	5	1	2
161	719	3.73	0.86	5	1	4
162	462	4.06	1.05	5	1	4
163	512	3.47	0.99	5	1	4
164	358	3.58	0.87	5	1	4
165	784	3.55	1.01	5	1	4
166	60	2.48	1.28	5	1	2
167	5	3.6	0.89	5	3	3
168	341	2.94	1.14	5	1	3
169	111	2.03	1.03	5	1	2
170	311	3.14	1.13	5	1	3
171	89	3.56	1.05	5	1	4
172	431	2.58	1.1	5	1	3
173	535	2.31	1.02	5	1	2
174	77	2.27	1.18	5	1	2
175	211	3.47	1.2	5	1	4
176	195	3.91	0.85	5	1	4
177	135	2.73	1.15	5	1	3
178	18	3.56	0.7	5	2	4
179	45	2.2	0.89	5	1	2
180	425	3.54	1.1	5	1	4
181	89	1.6	0.9	4	1	1
182	47	3.13	1.1	5	1	3
183	25	3.52	0.96	5	1	4
184	25	3.28	1.02	5	1	3
185	535	2.88	1	5	1	3
186	195	2.78	0.96	5	1	3
187	96	3.21	1.07	5	1	3
188	182	3.23	1.12	5	1	3
189	13	3.62	0.87	5	2	4
190	93	3.77	1.07	5	1	4
191	70	2.5	1.03	5	1	2.5
192	2	3	1.41	4	2	3
193	209	2.04	1.09	5	1	2
194	207	3.75	0.96	5	1	4
195	159	2.84	0.92	5	1	3
196	534	2.83	1	5	1	3
197	17	3.06	1.09	5	1	3
198	567	3.3	1.05	5	1	3
199	111	3.77	1.16	5	1	4
200	12	2.42	1.08	4	1	2.5
201	32	2.62	1.1	4	1	3
202	28	2.5	1.14	5	1	2
203	186	3.01	1.18	5	1	3
204	187	2.93	1.07	5	1	3
205	80	3.7	1.02	5	1	4
206	78	3.69	1.04	5	1	4
207	211	3.12	1.09	5	1	3
208	620	2.63	1.13	5	1	3
209	47	2.4	0.97	5	1	2
210	34	3.18	0.97	5	1	3
211	33	3.58	0.75	5	2	4
212	14	1.93	1	4	1	2
213	119	4.06	1.04	5	1	4
214	27	4.26	0.86	5	2	4
215	151	3.81	1.01	5	1	4
216	338	3.21	1.23	5	1	3
217	62	2.6	1.06	5	1	3
218	189	3.1	1.01	5	1	3
219	18	3.06	1	5	1	3
220	25	1.8	0.91	4	1	2
222	313	3.55	0.85	5	1	4
223	1347	3.94	1.02	5	1	4
224	370	3.4	0.96	5	1	3
225	238	3.13	0.92	5	1	3
226	1	2	NA	2	2	2
227	122	2.65	0.99	5	1	3
228	13	2.15	0.99	4	1	2
229	103	3.51	1.03	5	1	4
230	329	3.46	0.93	5	1	4
231	628	3.19	1.32	5	1	3
232	332	4.08	0.8	5	1	4
233	224	3.62	1.13	5	1	4
234	135	2.24	1.11	5	1	2
235	892	3.7	1.01	5	1	4
236	307	3.3	0.95	5	1	3
237	247	2.96	1.02	5	1	3
238	29	2.72	1.33	5	1	3
239	161	2.86	1.19	5	1	3
240	44	2.73	1.13	5	1	3
241	28	3.36	1.1	5	1	3
242	76	3.54	1	5	1	4
243	9	2.11	1.05	3	1	3
244	8	2	0.93	3	1	2
