"userID"	"nb.Ratings"	"mean"	"sd"	"max"	"min"	"med"
1	50	4.18	0.69	5	3	4
2	121	3.71	1	5	1	4
3	50	3.9	0.99	5	1	4
4	20	4.15	1.09	5	1	4
5	189	3.17	1.14	5	1	3
6	68	3.94	0.75	5	2	4
7	29	4.34	0.72	5	3	4
8	134	3.88	0.93	5	2	4
9	102	3.73	0.82	5	2	4
10	367	4.1	0.85	5	2	4
11	131	3.29	1.35	5	1	4
12	22	3.86	1.13	5	1	4
13	105	3.39	0.8	5	1	3
14	23	3.43	1.38	5	1	4
15	188	3.31	0.83	5	1	3
16	34	3	1.26	5	1	3
17	202	4.07	0.82	5	2	4
18	294	3.65	1.37	5	1	4
19	239	3.62	1.07	5	1	4
20	23	4.04	0.82	5	2	4
21	21	2.81	1.36	5	1	3
22	282	3.09	1.01	5	1	3
23	283	3.33	1.03	5	1	3
24	129	3.93	0.84	5	1	4
25	82	3.74	1.12	5	1	4
26	385	2.96	1.03	5	1	3
27	68	4.21	1.17	5	1	5
28	104	3.77	0.85	5	2	4
29	100	3.58	1.06	5	1	3
30	41	3.49	0.95	5	2	4
31	113	3.75	1.01	5	1	4
32	46	3.59	1	5	1	4
33	370	3.49	1.03	5	1	4
34	157	3.86	1.05	5	1	4
35	187	3.52	1.03	5	1	4
36	327	4.2	0.77	5	1	4
37	50	3.68	1.49	5	1	4
38	94	3.57	0.82	5	1	4
39	58	3.52	1.27	5	1	4
40	92	3.42	1.12	5	1	4
41	24	3.54	1.59	5	1	4
42	219	3.74	0.77	5	1	4
43	23	4.17	0.94	5	1	4
44	189	3.61	1.19	5	1	4
45	276	2.97	1.12	5	1	3
46	35	4.43	1.42	5	1	5
47	21	3.9	0.77	5	2	4
48	560	3.06	0.82	5	1	3
49	102	3.69	0.86	5	1	4
50	41	3.05	0.89	5	1	3
51	39	3.85	0.93	5	1	4
52	76	3.55	1.12	5	1	4
53	647	4.26	0.94	5	1	5
54	37	3.97	0.76	5	2	4
55	22	4.09	0.81	5	3	4
56	62	4.02	1.09	5	1	4
57	61	2.89	1.42	5	1	3
