userID	age	sex	occupation	zip.code
1	1	24	M	technician	85711
2	2	53	F	other	94043
3	3	23	M	writer	32067
4	4	24	M	technician	43537
5	5	33	F	other	15213
6	6	42	M	executive	98101
7	7	57	M	administrator	91344
8	8	36	M	administrator	05201
9	9	29	M	student	01002
10	10	53	M	lawyer	90703
11	11	39	F	other	30329
12	12	28	F	other	06405
13	13	47	M	educator	29206
14	14	45	M	scientist	55106
15	15	49	F	educator	97301
16	16	21	M	entertainment	10309
17	17	30	M	programmer	06355
18	18	35	F	other	37212
19	19	40	M	librarian	02138
20	20	42	F	homemaker	95660
21	21	26	M	writer	30068
22	22	25	M	writer	40206
23	23	30	F	artist	48197
24	24	21	F	artist	94533
25	25	39	M	engineer	55107
26	26	49	M	engineer	21044
27	27	40	F	librarian	30030
28	28	32	M	writer	55369
29	29	41	M	programmer	94043
30	30	7	M	student	55436
31	31	24	M	artist	10003
32	32	28	F	student	78741
33	33	23	M	student	27510
34	34	38	F	administrator	42141
35	35	20	F	homemaker	42459
36	36	19	F	student	93117
37	37	23	M	student	55105
38	38	28	F	other	54467
39	39	41	M	entertainment	01040
40	40	38	M	scientist	27514
41	41	33	M	engineer	80525
42	42	30	M	administrator	17870
43	43	29	F	librarian	20854
44	44	26	M	technician	46260
45	45	29	M	programmer	50233
46	46	27	F	marketing	46538
47	47	53	M	marketing	07102
48	48	45	M	administrator	12550
49	49	23	F	student	76111
50	50	21	M	writer	52245
51	51	28	M	educator	16509
52	52	18	F	student	55105
53	53	26	M	programmer	55414
54	54	22	M	executive	66315
55	55	37	M	programmer	01331
56	56	25	M	librarian	46260
57	57	16	M	none	84010
58	58	27	M	programmer	52246
59	59	49	M	educator	08403
60	60	50	M	healthcare	06472
61	61	36	M	engineer	30040
62	62	27	F	administrator	97214
63	63	31	M	marketing	75240
64	64	32	M	educator	43202
65	65	51	F	educator	48118
66	66	23	M	student	80521
67	67	17	M	student	60402
68	68	19	M	student	22904
69	69	24	M	engineer	55337
70	70	27	M	engineer	60067
71	71	39	M	scientist	98034
72	72	48	F	administrator	73034
73	73	24	M	student	41850
74	74	39	M	scientist	T8H1N
75	75	24	M	entertainment	08816
76	76	20	M	student	02215
77	77	30	M	technician	29379
78	78	26	M	administrator	61801
79	79	39	F	administrator	03755
80	80	34	F	administrator	52241
81	81	21	M	student	21218
82	82	50	M	programmer	22902
83	83	40	M	other	44133
84	84	32	M	executive	55369
85	85	51	M	educator	20003
86	86	26	M	administrator	46005
87	87	47	M	administrator	89503
88	88	49	F	librarian	11701
89	89	43	F	administrator	68106
90	90	60	M	educator	78155
91	91	55	M	marketing	01913
92	92	32	M	entertainment	80525
93	93	48	M	executive	23112
94	94	26	M	student	71457
95	95	31	M	administrator	10707
96	96	25	F	artist	75206
97	97	43	M	artist	98006
98	98	49	F	executive	90291
99	99	20	M	student	63129
100	100	36	M	executive	90254
101	101	15	M	student	05146
102	102	38	M	programmer	30220
103	103	26	M	student	55108
104	104	27	M	student	55108
105	105	24	M	engineer	94043
106	106	61	M	retired	55125
107	107	39	M	scientist	60466
108	108	44	M	educator	63130
109	109	29	M	other	55423
110	110	19	M	student	77840
111	111	57	M	engineer	90630
112	112	30	M	salesman	60613
113	113	47	M	executive	95032
114	114	27	M	programmer	75013
115	115	31	M	engineer	17110
116	116	40	M	healthcare	97232
117	117	20	M	student	16125
118	118	21	M	administrator	90210
119	119	32	M	programmer	67401
120	120	47	F	other	06260
121	121	54	M	librarian	99603
122	122	32	F	writer	22206
123	123	48	F	artist	20008
124	124	34	M	student	60615
125	125	30	M	lawyer	22202
126	126	28	F	lawyer	20015
127	127	33	M	none	73439
128	128	24	F	marketing	20009
129	129	36	F	marketing	07039
130	130	20	M	none	60115
131	131	59	F	administrator	15237
132	132	24	M	other	94612
133	133	53	M	engineer	78602
134	134	31	M	programmer	80236
135	135	23	M	student	38401
136	136	51	M	other	97365
137	137	50	M	educator	84408
138	138	46	M	doctor	53211
139	139	20	M	student	08904
140	140	30	F	student	32250
141	141	49	M	programmer	36117
142	142	13	M	other	48118
143	143	42	M	technician	08832
144	144	53	M	programmer	20910
145	145	31	M	entertainment	V3N4P
146	146	45	M	artist	83814
147	147	40	F	librarian	02143
148	148	33	M	engineer	97006
149	149	35	F	marketing	17325
150	150	20	F	artist	02139
151	151	38	F	administrator	48103
152	152	33	F	educator	68767
153	153	25	M	student	60641
154	154	25	M	student	53703
155	155	32	F	other	11217
156	156	25	M	educator	08360
157	157	57	M	engineer	70808
158	158	50	M	educator	27606
159	159	23	F	student	55346
160	160	27	M	programmer	66215
161	161	50	M	lawyer	55104
162	162	25	M	artist	15610
163	163	49	M	administrator	97212
164	164	47	M	healthcare	80123
165	165	20	F	other	53715
166	166	47	M	educator	55113
167	167	37	M	other	L9G2B
168	168	48	M	other	80127
169	169	52	F	other	53705
170	170	53	F	healthcare	30067
171	171	48	F	educator	78750
172	172	55	M	marketing	22207
173	173	56	M	other	22306
174	174	30	F	administrator	52302
175	175	26	F	scientist	21911
176	176	28	M	scientist	07030
177	177	20	M	programmer	19104
178	178	26	M	other	49512
179	179	15	M	entertainment	20755
180	180	22	F	administrator	60202
181	181	26	M	executive	21218
182	182	36	M	programmer	33884
183	183	33	M	scientist	27708
184	184	37	M	librarian	76013
185	185	53	F	librarian	97403
186	186	39	F	executive	00000
187	187	26	M	educator	16801
188	188	42	M	student	29440
189	189	32	M	artist	95014
190	190	30	M	administrator	95938
191	191	33	M	administrator	95161
192	192	42	M	educator	90840
193	193	29	M	student	49931
194	194	38	M	administrator	02154
195	195	42	M	scientist	93555
196	196	49	M	writer	55105
197	197	55	M	technician	75094
198	198	21	F	student	55414
199	199	30	M	writer	17604
200	200	40	M	programmer	93402
201	201	27	M	writer	E2A4H
202	202	41	F	educator	60201
203	203	25	F	student	32301
204	204	52	F	librarian	10960
205	205	47	M	lawyer	06371
206	206	14	F	student	53115
207	207	39	M	marketing	92037
208	208	43	M	engineer	01720
209	209	33	F	educator	85710
210	210	39	M	engineer	03060
211	211	66	M	salesman	32605
212	212	49	F	educator	61401
213	213	33	M	executive	55345
214	214	26	F	librarian	11231
215	215	35	M	programmer	63033
216	216	22	M	engineer	02215
217	217	22	M	other	11727
218	218	37	M	administrator	06513
219	219	32	M	programmer	43212
220	220	30	M	librarian	78205
221	221	19	M	student	20685
222	222	29	M	programmer	27502
223	223	19	F	student	47906
224	224	31	F	educator	43512
225	225	51	F	administrator	58202
226	226	28	M	student	92103
227	227	46	M	executive	60659
228	228	21	F	student	22003
229	229	29	F	librarian	22903
230	230	28	F	student	14476
231	231	48	M	librarian	01080
232	232	45	M	scientist	99709
233	233	38	M	engineer	98682
234	234	60	M	retired	94702
235	235	37	M	educator	22973
236	236	44	F	writer	53214
237	237	49	M	administrator	63146
238	238	42	F	administrator	44124
239	239	39	M	artist	95628
240	240	23	F	educator	20784
241	241	26	F	student	20001
242	242	33	M	educator	31404
243	243	33	M	educator	60201
244	244	28	M	technician	80525
245	245	22	M	student	55109
246	246	19	M	student	28734
247	247	28	M	engineer	20770
248	248	25	M	student	37235
249	249	25	M	student	84103
250	250	29	M	executive	95110
251	251	28	M	doctor	85032
252	252	42	M	engineer	07733
253	253	26	F	librarian	22903
254	254	44	M	educator	42647
255	255	23	M	entertainment	07029
256	256	35	F	none	39042
257	257	17	M	student	77005
258	258	19	F	student	77801
259	259	21	M	student	48823
260	260	40	F	artist	89801
261	261	28	M	administrator	85202
