"movieID"	"title"	"date"	"IMDbURL"	"unknown"	"Action"	"Adventure"	"Animation"	"Children.s"	"Comedy"	"Crime"	"Documentary"	"Drama"	"Fantasy"	"Film.noir"	"Horror"	"Musical"	"Mystery"	"Romance"	"Sci.fi"	"Thriller"	"War"	"Western"	"nb.Ratings"	"mean"	"sd"	"max"	"min"	"med"
1	"Toy Story (1995)"	"01-Jan-1995"	"http://us.imdb.com/M/title-exact?Toy%20Story%20(1995)"	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	452	3.88	0.93	5	1	4
2	"GoldenEye (1995)"	"01-Jan-1995"	"http://us.imdb.com/M/title-exact?GoldenEye%20(1995)"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	131	3.21	0.97	5	1	3
3	"Four Rooms (1995)"	"01-Jan-1995"	"http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	90	3.03	1.21	5	1	3
4	"Get Shorty (1995)"	"01-Jan-1995"	"http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995)"	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	209	3.55	0.97	5	1	4
5	"Copycat (1995)"	"01-Jan-1995"	"http://us.imdb.com/M/title-exact?Copycat%20(1995)"	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	86	3.3	0.95	5	1	3
6	"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)"	"01-Jan-1995"	"http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+(1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	26	3.58	1.3	5	1	4
7	"Twelve Monkeys (1995)"	"01-Jan-1995"	"http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	392	3.8	0.98	5	1	4
8	"Babe (1995)"	"01-Jan-1995"	"http://us.imdb.com/M/title-exact?Babe%20(1995)"	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	219	4	1	5	1	4
9	"Dead Man Walking (1995)"	"01-Jan-1995"	"http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	299	3.9	1.04	5	1	4
10	"Richard III (1995)"	"22-Jan-1996"	"http://us.imdb.com/M/title-exact?Richard%20III%20(1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	89	3.83	1.01	5	1	4
11	"Seven (Se7en) (1995)"	"01-Jan-1995"	"http://us.imdb.com/M/title-exact?Se7en%20(1995)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	236	3.85	1.07	5	1	4
12	"Usual Suspects, The (1995)"	"14-Aug-1995"	"http://us.imdb.com/M/title-exact?Usual%20Suspects,%20The%20(1995)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	267	4.39	0.83	5	1	5
13	"Mighty Aphrodite (1995)"	"30-Oct-1995"	"http://us.imdb.com/M/title-exact?Mighty%20Aphrodite%20(1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	184	3.42	1.03	5	1	4
14	"Postino, Il (1994)"	"01-Jan-1994"	"http://us.imdb.com/M/title-exact?Postino,%20Il%20(1994)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	183	3.97	1	5	1	4
15	"Mr. Holland's Opus (1995)"	"29-Jan-1996"	"http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20(1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	293	3.78	0.98	5	1	4
16	"French Twist (Gazon maudit) (1995)"	"01-Jan-1995"	"http://us.imdb.com/M/title-exact?Gazon%20maudit%20(1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	39	3.21	1.03	5	1	3
17	"From Dusk Till Dawn (1996)"	"05-Feb-1996"	"http://us.imdb.com/M/title-exact?From%20Dusk%20Till%20Dawn%20(1996)"	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	92	3.12	1.18	5	1	3
18	"White Balloon, The (1995)"	"01-Jan-1995"	"http://us.imdb.com/M/title-exact?Badkonake%20Sefid%20(1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	2.8	1.32	5	1	3
19	"Antonia's Line (1995)"	"01-Jan-1995"	"http://us.imdb.com/M/title-exact?Antonia%20(1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	69	3.96	1.06	5	1	4
20	"Angels and Insects (1995)"	"01-Jan-1995"	"http://us.imdb.com/M/title-exact?Angels%20and%20Insects%20(1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	72	3.42	1.23	5	1	4
21	"Muppet Treasure Island (1996)"	"16-Feb-1996"	"http://us.imdb.com/M/title-exact?Muppet%20Treasure%20Island%20(1996)"	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	84	2.76	1.05	5	1	3
22	"Braveheart (1995)"	"16-Feb-1996"	"http://us.imdb.com/M/title-exact?Braveheart%20(1995)"	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	297	4.15	0.96	5	1	4
23	"Taxi Driver (1976)"	"16-Feb-1996"	"http://us.imdb.com/M/title-exact?Taxi%20Driver%20(1976)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	182	4.12	0.85	5	2	4
24	"Rumble in the Bronx (1995)"	"23-Feb-1996"	"http://us.imdb.com/M/title-exact?Hong%20Faan%20Kui%20(1995)"	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	174	3.45	1	5	1	4
25	"Birdcage, The (1996)"	"08-Mar-1996"	"http://us.imdb.com/M/title-exact?Birdcage,%20The%20(1996)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	293	3.44	1.03	5	1	4
26	"Brothers McMullen, The (1995)"	"01-Jan-1995"	"http://us.imdb.com/M/title-exact?Brothers%20McMullen,%20The%20(1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	73	3.45	0.9	5	1	3
27	"Bad Boys (1995)"	"01-Jan-1995"	"http://us.imdb.com/M/title-exact?Bad%20Boys%20(1995)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	3.11	1.1	5	1	3
