"userID"	"age"	"sex"	"occupation"	"zip.code"	"nb.Ratings"	"mean"	"sd"	"max"	"min"	"med"
1	24	"M"	"technician"	"85711"	270	3.6	1.27	5	1	4
2	53	"F"	"other"	"94043"	61	3.7	1.04	5	1	4
3	23	"M"	"writer"	"32067"	53	2.77	1.22	5	1	3
4	24	"M"	"technician"	"43537"	24	4.33	0.92	5	2	5
5	33	"F"	"other"	"15213"	174	2.87	1.36	5	1	3
6	42	"M"	"executive"	"98101"	208	3.64	1.04	5	1	4
7	57	"M"	"administrator"	"91344"	401	3.96	1.07	5	1	4
8	36	"M"	"administrator"	"05201"	59	3.8	1.24	5	1	4
9	29	"M"	"student"	"01002"	22	4.27	0.94	5	1	4
10	53	"M"	"lawyer"	"90703"	184	4.21	0.58	5	3	4
11	39	"F"	"other"	"30329"	181	3.46	0.93	5	1	3
12	28	"F"	"other"	"06405"	51	4.39	0.78	5	1	5
13	47	"M"	"educator"	"29206"	632	3.1	1.42	5	1	3
14	45	"M"	"scientist"	"55106"	98	4.09	1.04	5	1	4
15	49	"F"	"educator"	"97301"	103	2.87	1.35	5	1	3
16	21	"M"	"entertainment"	"10309"	140	4.33	1.04	5	1	5
17	30	"M"	"programmer"	"06355"	28	3.04	1.14	5	1	3
18	35	"F"	"other"	"37212"	277	3.88	0.85	5	2	4
19	40	"M"	"librarian"	"02138"	20	3.55	0.83	5	2	4
20	42	"F"	"homemaker"	"95660"	48	3.1	1.15	5	1	3
21	26	"M"	"writer"	"30068"	178	2.67	1.33	5	1	3
22	25	"M"	"writer"	"40206"	127	3.37	1.48	5	1	4
23	30	"F"	"artist"	"48197"	151	3.64	0.96	5	1	4
24	21	"F"	"artist"	"94533"	68	4.32	0.82	5	2	5
25	39	"M"	"engineer"	"55107"	78	4.05	0.62	5	2	4
26	49	"M"	"engineer"	"21044"	107	2.94	0.86	5	1	3
27	40	"F"	"librarian"	"30030"	25	3.24	0.88	5	2	3
28	32	"M"	"writer"	"55369"	78	3.72	0.97	5	1	4
29	41	"M"	"programmer"	"94043"	34	3.65	0.88	5	2	4
30	7	"M"	"student"	"55436"	43	3.77	1	5	1	4
31	24	"M"	"artist"	"10003"	36	3.92	0.97	5	2	4
32	28	"F"	"student"	"78741"	40	3.27	0.88	5	1	3
33	23	"M"	"student"	"27510"	23	3.7	0.56	5	3	4
34	38	"F"	"administrator"	"42141"	20	4.05	1.39	5	1	5
35	20	"F"	"homemaker"	"42459"	23	3.04	0.98	5	1	3
36	19	"F"	"student"	"93117"	20	3.8	1.28	5	1	4
37	23	"M"	"student"	"55105"	57	3.65	0.99	5	1	4
38	28	"F"	"other"	"54467"	121	3.72	1.6	5	1	5
39	41	"M"	"entertainment"	"01040"	22	3.77	0.92	5	2	4
40	38	"M"	"scientist"	"27514"	35	2.89	0.96	4	1	3
41	33	"M"	"engineer"	"80525"	52	3.77	0.81	5	2	4
42	30	"M"	"administrator"	"17870"	183	3.73	1.06	5	1	4
43	29	"F"	"librarian"	"20854"	221	3.71	1.02	5	1	4
44	26	"M"	"technician"	"46260"	151	3.65	1	5	1	4
45	29	"M"	"programmer"	"50233"	48	3.6	0.92	5	2	4
46	27	"F"	"marketing"	"46538"	27	4.11	0.93	5	2	4
47	53	"M"	"marketing"	"07102"	25	3.64	0.91	5	2	4
48	45	"M"	"administrator"	"12550"	65	3.8	1.05	5	1	4
49	23	"F"	"student"	"76111"	214	2.69	1.26	5	1	3
50	21	"M"	"writer"	"52245"	23	3.52	1.41	5	1	4
51	28	"M"	"educator"	"16509"	23	3.57	1.2	5	1	4
52	18	"F"	"student"	"55105"	56	4.27	0.73	5	2	4
53	26	"M"	"programmer"	"55414"	28	3.82	0.9	5	2	4
54	22	"M"	"executive"	"66315"	65	3.69	1.14	5	1	4
55	37	"M"	"programmer"	"01331"	21	3.29	1.49	5	1	3
56	25	"M"	"librarian"	"46260"	187	3.64	0.94	5	1	4
57	16	"M"	"none"	"84010"	106	3.5	1.03	5	1	3
58	27	"M"	"programmer"	"52246"	153	3.83	1.23	5	1	4
59	49	"M"	"educator"	"08403"	382	3.93	1.06	5	1	4
60	50	"M"	"healthcare"	"06472"	208	4.09	0.63	5	2	4
61	36	"M"	"engineer"	"30040"	21	2.95	1.24	5	1	3
62	27	"F"	"administrator"	"97214"	232	3.3	1.11	5	1	3
63	31	"M"	"marketing"	"75240"	92	3.12	0.99	5	1	3
64	32	"M"	"educator"	"43202"	200	3.58	1	5	1	4
65	51	"F"	"educator"	"48118"	80	3.94	0.89	5	1	4
66	23	"M"	"student"	"80521"	38	3.47	1.03	5	1	4
67	17	"M"	"student"	"60402"	30	3.77	0.9	5	1	4
68	19	"M"	"student"	"22904"	34	3.03	1.6	5	1	3
69	24	"M"	"engineer"	"55337"	64	3.83	1.06	5	1	4
70	27	"M"	"engineer"	"60067"	131	3.47	0.82	5	1	4
71	39	"M"	"scientist"	"98034"	38	3.79	1.04	5	1	4
72	48	"F"	"administrator"	"73034"	137	3.82	1.05	5	1	4
73	24	"M"	"student"	"41850"	65	3.74	1.16	5	1	4
74	39	"M"	"scientist"	"T8H1N"	39	3.64	0.71	5	2	4
75	24	"M"	"entertainment"	"08816"	79	3.28	1.36	5	1	4
76	20	"M"	"student"	"02215"	82	3.56	1.12	5	1	4
77	30	"M"	"technician"	"29379"	71	3.59	1.2	5	1	4
78	26	"M"	"administrator"	"61801"	21	3.38	1.28	5	1	4
79	39	"F"	"administrator"	"03755"	54	3.98	1.04	5	2	4
80	34	"F"	"administrator"	"52241"	29	3.76	1.02	5	1	4
81	21	"M"	"student"	"21218"	58	3.29	1.11	5	1	3
82	50	"M"	"programmer"	"22902"	168	3.07	1.19	5	1	3
83	40	"M"	"other"	"44133"	155	3.42	1.12	5	1	4
84	32	"M"	"executive"	"55369"	68	3.85	0.8	5	2	4
85	51	"M"	"educator"	"20003"	287	3.54	0.81	5	1	4
86	26	"M"	"administrator"	"46005"	23	3.52	1.16	5	1	3
87	47	"M"	"administrator"	"89503"	210	3.8	0.93	5	1	4
88	49	"F"	"librarian"	"11701"	21	3.95	1.16	5	1	4
89	43	"F"	"administrator"	"68106"	75	4.03	1.15	5	1	4
90	60	"M"	"educator"	"78155"	300	4.22	0.93	5	1	4
91	55	"M"	"marketing"	"01913"	98	3.89	1.03	5	1	4
92	32	"M"	"entertainment"	"80525"	386	3.24	0.98	5	1	3
93	48	"M"	"executive"	"23112"	20	3.35	1.23	5	1	4
94	26	"M"	"student"	"71457"	399	3.66	1.02	5	1	4
95	31	"M"	"administrator"	"10707"	278	3.42	1.13	5	1	4
96	25	"F"	"artist"	"75206"	56	4.27	0.94	5	1	4.5
97	43	"M"	"artist"	"98006"	63	4.16	1.14	5	1	5
98	49	"F"	"executive"	"90291"	27	3.59	1.31	5	1	3
99	20	"M"	"student"	"63129"	134	3.55	1.1	5	1	4
100	36	"M"	"executive"	"90254"	59	3.07	1.05	5	1	3
101	15	"M"	"student"	"05146"	67	2.9	0.87	5	1	3
102	38	"M"	"programmer"	"30220"	216	2.62	0.74	4	1	3
103	26	"M"	"student"	"55108"	29	3.62	0.94	5	1	4
104	27	"M"	"student"	"55108"	110	2.66	1.16	5	1	3
105	24	"M"	"engineer"	"94043"	23	3.39	1.08	5	2	3
106	61	"M"	"retired"	"55125"	64	3.77	0.71	5	2	4
107	39	"M"	"scientist"	"60466"	22	3	1.27	5	1	3
108	44	"M"	"educator"	"63130"	33	3.58	0.97	5	2	3
109	29	"M"	"other"	"55423"	234	3.44	1.14	5	1	3
110	19	"M"	"student"	"77840"	133	3.05	0.86	5	1	3
111	57	"M"	"engineer"	"90630"	24	3.54	0.93	5	2	4
112	30	"M"	"salesman"	"60613"	46	3.7	1.07	5	1	4
113	47	"M"	"executive"	"95032"	50	3.72	1.13	5	1	4
114	27	"M"	"programmer"	"75013"	48	3.6	0.92	5	2	3
115	31	"M"	"engineer"	"17110"	92	3.93	1.17	5	1	4
116	40	"M"	"healthcare"	"97232"	140	3.01	0.96	5	1	3
117	20	"M"	"student"	"16125"	86	3.92	1.03	5	1	4
118	21	"M"	"administrator"	"90210"	71	4.66	0.75	5	1	5
119	32	"M"	"programmer"	"67401"	180	3.96	1.01	5	1	4
120	47	"F"	"other"	"06260"	26	3.58	0.99	5	2	4
121	54	"M"	"librarian"	"99603"	74	3.61	1.33	5	1	4
122	32	"F"	"writer"	"22206"	61	3.98	0.97	5	1	4
123	48	"F"	"artist"	"20008"	54	3.85	1.11	5	1	4
124	34	"M"	"student"	"60615"	24	3.5	1.02	5	1	3.5
125	30	"M"	"lawyer"	"22202"	182	3.44	1.3	5	1	3
126	28	"F"	"lawyer"	"20015"	45	3.53	1.18	5	1	4
127	33	"M"	"none"	"73439"	23	4.13	1.52	5	1	5
128	24	"F"	"marketing"	"20009"	184	3.66	1.02	5	1	4
129	36	"F"	"marketing"	"07039"	30	2.6	1.16	5	1	2
130	20	"M"	"none"	"60115"	350	3.98	0.98	5	1	4
131	59	"F"	"administrator"	"15237"	30	4.13	1.04	5	1	4
132	24	"M"	"other"	"94612"	22	3.77	0.69	5	3	4
133	53	"M"	"engineer"	"78602"	26	3.19	1.1	5	1	3
134	31	"M"	"programmer"	"80236"	25	3.64	1.08	5	2	4
135	23	"M"	"student"	"38401"	55	3.38	0.78	5	1	4
136	51	"M"	"other"	"97365"	35	4.34	0.73	5	2	4
137	50	"M"	"educator"	"84408"	46	4.3	1.11	5	1	5
138	46	"M"	"doctor"	"53211"	51	4.27	0.67	5	2	4
139	20	"M"	"student"	"08904"	22	3.95	0.84	5	2	4
140	30	"F"	"student"	"32250"	21	3.43	0.81	5	2	3
141	49	"M"	"programmer"	"36117"	107	3.43	1.34	5	1	4
142	13	"M"	"other"	"48118"	33	3.64	1.19	5	1	4
