	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	
pearson_0_mean	1.395339918	1.215725707	1.138790089	1.100937948	1.084844126	1.073487861	1.063390501	1.056188992	1.049509591	1.047156827	1.042083921	1.035927576	1.035072682	1.03114044	1.030063692	1.026911314	1.025784836	1.022029099	1.020202123	1.018977736	
RFP_0_mean	1.337308565	1.17220392	1.10371755	1.068028523	1.056454628	1.043943069	1.03704656	1.028966681	1.028788433	1.026918416	1.022932157	1.017606488	1.018394601	1.014791979	1.013455483	1.011631583	1.01075592	1.011496596	1.012183845	1.011661726	
nrmse_0_mean	1.197588038	1.085398104	1.038005489	1.026150489	1.00483988	1.003686717	1.005040475	1.001683448	1.001869505	0.997853701	0.994886888	0.994390321	0.992170841	0.991159121	0.987803238	0.986107561	0.985303801	0.987302541	0.986086605	0.985700776	
nmae_0_mean	1.228924378	1.109950898	1.047254895	1.023679536	1.008775073	1.003825156	0.995892206	0.989664533	0.985902842	0.981960425	0.978032595	0.976951283	0.976123034	0.975036861	0.976533411	0.975564403	0.975208531	0.973276141	0.973202378	0.971528899	
pearson_4_mean	1.386167642	1.204097141	1.123359481	1.087206555	1.076902128	1.061322227	1.053852735	1.044909488	1.03919323	1.039092878	1.034352656	1.029661095	1.028482835	1.026518753	1.025867766	1.022623709	1.020668357	1.018521271	1.017816207	1.01609187	
RFP_4_mean	1.336747338	1.171350089	1.102003975	1.067457524	1.056615612	1.044741418	1.037199138	1.028856528	1.028599317	1.02675034	1.022190252	1.016583525	1.017692417	1.015424328	1.014663556	1.01234507	1.01220712	1.013092749	1.012825728	1.012660708	
nrmse_4_mean	1.197588038	1.087585133	1.038968909	1.026531279	1.004610847	1.004434058	1.00690781	1.002030633	1.001160348	0.996624695	0.993289876	0.993322466	0.991270932	0.990833322	0.98771883	0.985700251	0.985069242	0.986925584	0.985707807	0.985740742	
nmae_4_mean	1.238251442	1.108710792	1.046617798	1.021202605	1.006799462	1.002509219	0.994527849	0.986943868	0.985279353	0.980586522	0.976951959	0.976136638	0.976814192	0.976155261	0.977450515	0.976548405	0.976329669	0.974450144	0.974475216	0.972680328	
pearson_10_mean	1.352928382	1.195079122	1.120237931	1.087724071	1.075284358	1.058825082	1.054211111	1.046916066	1.040805505	1.041562086	1.037045122	1.035853797	1.031042583	1.028720551	1.024066265	1.020926402	1.019004153	1.017579458	1.016404055	1.013242221	
RFP_10_mean	1.322071835	1.16390607	1.100287733	1.068204153	1.061216954	1.05069648	1.040412831	1.033922769	1.033251069	1.031048342	1.025485293	1.022508921	1.021676671	1.020205113	1.017560573	1.014944705	1.015710171	1.016718781	1.015774665	1.014406712	
nrmse_10_mean	1.205498492	1.093491135	1.043825926	1.030983655	1.011093214	1.008837609	1.009626501	1.004823246	1.00273523	0.999751921	0.996846376	0.996958263	0.995925825	0.994780768	0.992406624	0.989830953	0.988790127	0.990151653	0.988842036	0.988872667	
nmae_10_mean	1.234610113	1.104868937	1.046856755	1.015122441	1.007157146	1.002280486	0.998937311	0.993259509	0.99019702	0.986167032	0.982225403	0.980814263	0.981450187	0.978851156	0.97944787	0.978431559	0.978726395	0.976007221	0.975707339	0.975020795	
pearson_0_weighted&b	1.395339918	1.225856746	1.147713971	1.115830171	1.097418011	1.083232866	1.070745449	1.074383211	1.067468855	1.064742975	1.059458903	1.054465486	1.055206174	1.052976994	1.052697826	1.054673026	1.051324381	1.050231658	1.048350386	1.047317152	
RFP_0_weighted&b	1.337308565	1.177406667	1.108368343	1.079806271	1.065728012	1.051111528	1.042934831	1.040697547	1.043988251	1.042537311	1.037827283	1.032809564	1.033632134	1.032951701	1.033461907	1.031824759	1.034750261	1.03630495	1.035631376	1.034931774	
nrmse_0_weighted&b	1.197588038	1.083088731	1.034547893	1.021884523	1.00078433	0.998667971	0.999561521	0.995895144	0.995517357	0.991701652	0.988593247	0.988028951	0.985897253	0.984765614	0.981834742	0.980301332	0.979596518	0.981279606	0.98004717	0.979798332	
nmae_0_weighted&b	1.228924378	1.106291757	1.045236628	1.020812618	1.005910869	0.999744153	0.991633281	0.985726833	0.982110018	0.977962913	0.973935209	0.972613039	0.971446695	0.970260526	0.971135143	0.970347591	0.969786752	0.967997524	0.967764395	0.966309963	
pearson_4_weighted&b	1.386167642	1.213445734	1.13045102	1.100689143	1.087252853	1.068844219	1.062669178	1.061044288	1.055032767	1.054588868	1.056832689	1.047714962	1.04462532	1.045437936	1.046149579	1.049512351	1.048365669	1.050627079	1.048476186	1.046558586	
RFP_4_weighted&b	1.336747338	1.175278726	1.106359966	1.079115509	1.065533778	1.050114053	1.045568144	1.039609243	1.043236772	1.045546418	1.041302738	1.032950038	1.033649698	1.033609947	1.033967014	1.032320592	1.032340395	1.036032893	1.034853774	1.033503078	
nrmse_4_weighted&b	1.197588038	1.085267858	1.035656707	1.022528792	1.001198778	0.999998195	1.001779273	0.99722397	0.995961237	0.991716663	0.988135019	0.988044481	0.98603925	0.985334172	0.982617287	0.980901227	0.980256603	0.981693232	0.98054909	0.980471655	
nmae_4_weighted&b	1.238251442	1.105199241	1.045178562	1.019232831	1.004829419	0.999296184	0.991523821	0.984735109	0.982749029	0.978152864	0.974275157	0.972974948	0.972824687	0.972049814	0.973011368	0.972153523	0.971610942	0.969763514	0.969733713	0.968174363	
pearson_10_weighted&b	1.351747943	1.196544546	1.12969264	1.105854386	1.088999169	1.075818187	1.073916782	1.076419935	1.074205196	1.075966478	1.07268157	1.076563949	1.07275079	1.07319756	1.073242369	1.073206836	1.078586272	1.078874003	1.081059111	1.078077212	
RFP_10_weighted&b	1.320738268	1.162093064	1.107626629	1.085505003	1.073733967	1.066210215	1.061501358	1.059637294	1.066801421	1.066004815	1.0608909	1.062796372	1.062318203	1.063601788	1.063299625	1.065731775	1.071289458	1.072370764	1.074175538	1.075975256	
nrmse_10_weighted&b	1.203544072	1.090146471	1.041373145	1.029641497	1.009443993	1.005747352	1.00650496	1.001727805	0.999515449	0.996174669	0.993004408	0.99299189	0.992199847	0.991124578	0.988954361	0.986979623	0.986002128	0.987245005	0.98558369	0.985999337	
nmae_10_weighted&b	1.232817617	1.099888242	1.044817054	1.014256584	1.004943666	0.998784173	0.995667995	0.990198561	0.986939816	0.982325621	0.978172117	0.976737282	0.977233231	0.974830937	0.975216273	0.974582781	0.974654431	0.9724706	0.971830195	0.971714159	
pearson_0_weighted-centered&b	1.264222658	1.133963532	1.062920199	1.037532938	1.017474474	1.003676465	0.998442228	0.999556315	0.99048108	0.9871897	0.982155534	0.977107805	0.978285542	0.976462535	0.974559296	0.975849375	0.971438436	0.972463374	0.970180228	0.970087581	
RFP_0_weighted-centered&b	1.196233856	1.073535297	1.021224575	1.000823972	0.986088678	0.973464027	0.970481611	0.96555043	0.965399634	0.962492857	0.958168612	0.95372523	0.952645859	0.952843948	0.952486972	0.94795097	0.950324554	0.956005992	0.955986546	0.960206897	
nrmse_0_weighted-centered&b	1.135433642	1.049167656	1.005767226	0.993929231	0.974088432	0.971265602	0.971182197	0.966411976	0.96446177	0.95880211	0.953667858	0.952491637	0.949344966	0.948116135	0.944037651	0.941773809	0.939875247	0.940577523	0.938483801	0.937482763	
nmae_0_weighted-centered&b	1.179864395	1.080582427	1.031408765	1.00942379	0.991228057	0.982909805	0.972537342	0.964643495	0.962387024	0.958322713	0.954191066	0.952288206	0.950352016	0.949066876	0.949241166	0.947537323	0.946604894	0.944294985	0.943671137	0.942424064	
pearson_4_weighted-centered&b	1.254972222	1.122096716	1.042102722	1.019905665	1.002843716	0.98809641	0.987947647	0.982080197	0.975092352	0.973796815	0.972835813	0.972763935	0.968037894	0.966622186	0.96509567	0.968402824	0.967492354	0.972828367	0.969620445	0.968490679	
RFP_4_weighted-centered&b	1.195206178	1.073685092	1.019111103	1.000183077	0.985172129	0.972521432	0.971040756	0.962355135	0.963602846	0.963009388	0.955518092	0.955579205	0.953159379	0.951031001	0.950528822	0.948090735	0.948174856	0.955795963	0.955632214	0.954554283	
nrmse_4_weighted-centered&b	1.137028635	1.051514316	1.006755727	0.994515453	0.973968021	0.971601046	0.972171612	0.96657559	0.963561204	0.957668155	0.952700442	0.951963249	0.948894911	0.948093285	0.944148265	0.94157961	0.939987726	0.940456373	0.938706287	0.937449349	
nmae_4_weighted-centered&b	1.194237875	1.081914951	1.030660794	1.006129703	0.989804777	0.981126486	0.971270483	0.962809286	0.962066089	0.956976028	0.952988068	0.95188468	0.950974661	0.949829684	0.950358471	0.947939004	0.946895444	0.944738615	0.944339786	0.942362469	
pearson_10_weighted-centered&b	1.237929993	1.103254039	1.047054856	1.026405146	1.00543156	0.998699655	1.000266878	0.996730706	0.992599549	0.992782967	0.989207137	0.991319146	0.98753661	0.987395157	0.985814758	0.985783095	0.987665584	0.991322108	0.991361282	0.990816505	
RFP_10_weighted-centered&b	1.187999217	1.064816785	1.022617992	1.006842585	0.986847263	0.986115605	0.984679155	0.978168595	0.984589947	0.982468342	0.976763331	0.976918766	0.974410872	0.975967881	0.974720753	0.976962659	0.979776622	0.984659584	0.991853229	0.988730464	
nrmse_10_weighted-centered&b	1.141581397	1.05538202	1.009967461	0.997963007	0.979573314	0.974233226	0.973372018	0.967477036	0.963859528	0.958811548	0.954807852	0.953675985	0.951616382	0.949902616	0.94654194	0.943466571	0.941569074	0.941801819	0.939300693	0.938490603	
nmae_10_weighted-centered&b	1.194724739	1.078694542	1.030966649	1.001016909	0.986273985	0.97722996	0.970463815	0.965498838	0.961685644	0.956681791	0.952158388	0.951835847	0.950255843	0.947884064	0.946928199	0.944751303	0.945375136	0.942290947	0.941021134	0.940442235	
pearson_0_weighted&a	1.412443804	1.24969524	1.181013491	1.146441618	1.133354312	1.129335641	1.127920792	1.126057249	1.122178313	1.122066186	1.11966676	1.11987859	1.123505584	1.125655511	1.131286423	1.136598151	1.142721578	1.148716043	1.153762397	1.158794757	
RFP_0_weighted&a	1.355145088	1.204009924	1.139190224	1.109614749	1.100672894	1.096572029	1.098311179	1.094444036	1.096001021	1.097389768	1.096466647	1.095455647	1.101344962	1.103816534	1.109830703	1.116190722	1.123448597	1.131964188	1.137481785	1.143508747	
nrmse_0_weighted&a	1.197588038	1.083088731	1.034547893	1.021884523	1.00078433	0.998667971	0.999561521	0.995895144	0.995517357	0.991701652	0.988593247	0.988028951	0.985897253	0.984765614	0.981834742	0.980301332	0.979596518	0.981279606	0.98004717	0.979798332	
nmae_0_weighted&a	1.228924378	1.106291757	1.045236628	1.020812618	1.005910869	0.999744153	0.991633281	0.985726833	0.982110018	0.977962913	0.973935209	0.972613039	0.971446695	0.970260526	0.971135143	0.970347591	0.969786752	0.967997524	0.967764395	0.966309963	
pearson_4_weighted&a	1.40338332	1.237523325	1.161777227	1.129814773	1.120896087	1.115688587	1.118738764	1.115978994	1.11406673	1.118019161	1.119103868	1.121654193	1.125105547	1.130005982	1.136200544	1.142743504	1.147485052	1.155699095	1.161081617	1.163900302	
RFP_4_weighted&a	1.354591252	1.200877776	1.138686894	1.107769538	1.098833635	1.097249901	1.100683887	1.09787841	1.101163697	1.103817724	1.105222625	1.105989746	1.110397027	1.115158348	1.120987915	1.127335111	1.132483465	1.141528512	1.147360329	1.151261479	
nrmse_4_weighted&a	1.197588038	1.085267858	1.035656707	1.022528792	1.001198778	0.999998195	1.001779273	0.99722397	0.995961237	0.991716663	0.988135019	0.988044481	0.98603925	0.985334172	0.982617287	0.980901227	0.980256603	0.981693232	0.98054909	0.980471655	
nmae_4_weighted&a	1.238251442	1.105199241	1.045178562	1.019232831	1.004829419	0.999296184	0.991523821	0.984735109	0.982749029	0.978152864	0.974275157	0.972974948	0.972824687	0.972049814	0.973011368	0.972153523	0.971610942	0.969763514	0.969733713	0.968174363	
pearson_10_weighted&a	1.419176974	1.31442305	1.26177081	1.244789127	1.242305388	1.251469259	1.25558381	1.261625753	1.265348469	1.27173361	1.276355191	1.284396653	1.292019389	1.299564536	1.305991707	1.315784706	1.32471603	1.335116917	1.342043976	1.345872835	
RFP_10_weighted&a	1.389672752	1.28564288	1.241932475	1.225568658	1.227524449	1.241319771	1.242601919	1.247736477	1.254859291	1.259854779	1.26353527	1.27039091	1.280499979	1.288853341	1.296754456	1.306079173	1.31578356	1.326514511	1.333769333	1.338847634	
nrmse_10_weighted&a	1.203544072	1.090146471	1.041373145	1.029641497	1.009443993	1.005747352	1.00650496	1.001727805	0.999515449	0.996174669	0.993004408	0.99299189	0.992199847	0.991124578	0.988954361	0.986979623	0.986002128	0.987245005	0.98558369	0.985999337	
nmae_10_weighted&a	1.232817617	1.099888242	1.044817054	1.014256584	1.004943666	0.998784173	0.995667995	0.990198561	0.986939816	0.982325621	0.978172117	0.976737282	0.977233231	0.974830937	0.975216273	0.974582781	0.974654431	0.9724706	0.971830195	0.971714159	
pearson_0_weighted-centered&a	1.313019958	1.141692502	1.070392198	1.036267708	1.017681622	1.003153365	0.993151988	0.986979145	0.980643987	0.977163421	0.97155671	0.966480037	0.965297476	0.961403511	0.958461206	0.955640793	0.952692369	0.949480122	0.947657143	0.946038571	1
