movieID,nb.Ratings,mean,sd,max,min,med
1,452,3.88,0.93,5,1,4
2,131,3.21,0.97,5,1,3
3,90,3.03,1.21,5,1,3
4,209,3.55,0.97,5,1,4
5,86,3.3,0.95,5,1,3
6,26,3.58,1.3,5,1,4
7,392,3.8,0.98,5,1,4
8,219,4,1,5,1,4
9,299,3.9,1.04,5,1,4
10,89,3.83,1.01,5,1,4
11,236,3.85,1.07,5,1,4
12,267,4.39,0.83,5,1,5
13,184,3.42,1.03,5,1,4
14,183,3.97,1,5,1,4
15,293,3.78,0.98,5,1,4
16,39,3.21,1.03,5,1,3
17,92,3.12,1.18,5,1,3
18,10,2.8,1.32,5,1,3
19,69,3.96,1.06,5,1,4
20,72,3.42,1.23,5,1,4
21,84,2.76,1.05,5,1,3
22,297,4.15,0.96,5,1,4
23,182,4.12,0.85,5,2,4
24,174,3.45,1,5,1,4
25,293,3.44,1.03,5,1,4
26,73,3.45,0.9,5,1,3
27,57,3.11,1.1,5,1,3
28,276,3.93,0.81,5,2,4
29,114,2.67,1.03,5,1,3
30,37,3.95,0.85,5,1,4
31,154,3.63,0.89,5,1,4
32,81,3.79,1.06,5,1,4
33,97,3.45,1.06,5,1,4
34,7,2.71,1.38,5,1,2
35,11,2.18,1.33,5,1,2
36,13,2.15,0.9,4,1,2
37,8,2.25,1.04,4,1,2
38,120,3.01,1.02,5,1,3
39,87,3.26,1.03,5,1,3
40,57,2.89,1.11,5,1,3
41,37,3.08,1.14,5,1,3
42,148,3.8,1.12,5,1,4
43,40,3,0.88,5,1,3
44,79,3.34,1.01,5,1,3
45,80,4.05,0.88,5,1,4
46,27,3.56,0.93,5,1,4
47,133,3.6,1.07,5,1,4
48,117,4.09,0.97,5,1,4
49,81,3.32,0.89,5,1,3
50,583,4.36,0.88,5,1,5
51,81,3.46,1.16,5,1,4
52,91,3.77,0.91,5,1,4
53,128,2.95,1.33,5,1,3
54,104,3.24,0.83,5,1,3
55,149,3.7,1.02,5,1,4
56,394,4.06,1.15,5,1,4
57,40,4,1.15,5,1,4
58,175,3.65,0.84,5,1,4
59,83,4.06,1.02,5,1,4
60,64,4.02,1.06,5,1,4
61,59,3.86,0.97,5,1,4
62,127,3.14,1.01,5,1,3
63,82,3.1,0.95,5,1,3
64,283,4.45,0.77,5,1,5
65,115,3.54,0.96,5,1,4
66,162,3.55,0.93,5,1,4
67,103,3.05,1.22,5,1,3
68,134,3.42,1.11,5,1,4
69,321,3.85,1.08,5,1,4
70,251,3.66,0.89,5,1,4
71,220,3.78,0.98,5,1,4
72,129,3.19,0.98,5,1,3
73,128,3.47,0.85,5,1,3
