"movieID"	"title"	"unknown"	"Action"	"Adventure"	"Animation"	"Children.s"	"Comedy"	"Crime"	"Documentary"	"Drama"	"Fantasy"	"Film.noir"	"Horror"	"Musical"	"Mystery"	"Romance"	"Sci.fi"	"Thriller"	"War"	"Western"	"nb.Ratings"	"mean"	"sd"	"max"	"min"	"med"
1	"Toy Story (1995)"	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2077	4.15	0.85	5	1	4
2	"Jumanji (1995)"	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	701	3.2	0.98	5	1	3
3	"Grumpier Old Men (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	478	3.02	1.07	5	1	3
4	"Waiting to Exhale (1995)"	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	170	2.73	1.01	5	1	3
5	"Father of the Bride Part II (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	296	3.01	1.03	5	1	3
6	"Heat (1995)"	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	940	3.88	0.93	5	1	4
7	"Sabrina (1995)"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	458	3.41	0.98	5	1	3
8	"Tom and Huck (1995)"	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	3.01	0.95	5	1	3
9	"Sudden Death (1995)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	2.66	1.05	5	1	3
10	"GoldenEye (1995)"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	888	3.54	0.89	5	1	4
11	"American President, The (1995)"	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1033	3.79	0.86	5	1	4
12	"Dracula: Dead and Loving It (1995)"	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	160	2.36	1.21	5	1	2
13	"Balto (1995)"	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	3.26	1.06	5	1	3
14	"Nixon (1995)"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	153	3.54	0.87	5	1	4
15	"Cutthroat Island (1995)"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	146	2.46	1.22	5	1	3
