"userID"	"sex"	"age"	"occupation"	"zip.code"	"nb.Ratings"	"mean"	"sd"	"max"	"min"	"med"
1	"F"	1	10	"48067"	53	4.19	0.68	5	3	4
2	"M"	56	16	"70072"	129	3.71	1	5	1	4
3	"M"	25	15	"55117"	51	3.9	0.98	5	1	4
4	"M"	45	7	"02460"	21	4.19	1.08	5	1	4
5	"M"	25	20	"55455"	198	3.15	1.13	5	1	3
6	"F"	50	9	"55117"	71	3.9	0.83	5	1	4
7	"M"	35	1	"06810"	31	4.32	0.75	5	3	4
8	"M"	25	12	"11413"	139	3.88	0.93	5	2	4
9	"M"	25	17	"61614"	106	3.74	0.82	5	2	4
10	"F"	35	1	"95370"	401	4.11	0.84	5	2	4
11	"F"	25	1	"04093"	137	3.28	1.35	5	1	3
12	"M"	25	12	"32793"	23	3.83	1.11	5	1	4
13	"M"	45	1	"93304"	108	3.39	0.8	5	1	3
14	"M"	35	0	"60126"	25	3.32	1.41	5	1	4
15	"M"	25	7	"22903"	201	3.32	0.82	5	1	3
16	"F"	35	0	"20670"	35	3.03	1.25	5	1	3
17	"M"	50	1	"95350"	211	4.08	0.81	5	2	4
18	"F"	18	3	"95825"	305	3.65	1.36	5	1	4
19	"M"	1	10	"48073"	255	3.57	1.08	5	1	4
20	"M"	25	14	"55113"	24	4.08	0.83	5	2	4
21	"M"	18	16	"99353"	22	2.91	1.41	5	1	3
22	"M"	18	15	"53706"	297	3.07	1.01	5	1	3
23	"M"	35	0	"90049"	304	3.32	1.02	5	1	3
24	"F"	25	7	"10023"	136	3.95	0.83	5	1	4
25	"M"	18	4	"01609"	85	3.74	1.1	5	1	4
26	"M"	25	7	"23112"	400	2.96	1.03	5	1	3
27	"M"	25	11	"19130"	70	4.17	1.18	5	1	5
28	"F"	25	1	"14607"	107	3.76	0.86	5	2	4
29	"M"	35	7	"33407"	108	3.58	1.05	5	1	3
30	"F"	35	7	"19143"	43	3.49	0.94	5	2	4
31	"M"	56	7	"06840"	119	3.73	1.02	5	1	4
32	"F"	25	0	"19355"	48	3.62	1	5	1	4
33	"M"	45	3	"55421"	391	3.5	1.03	5	1	4
34	"F"	18	0	"02135"	164	3.87	1.05	5	1	4
35	"M"	45	1	"02482"	198	3.54	1.05	5	1	4
36	"M"	25	3	"94123"	351	4.2	0.77	5	1	4
37	"F"	25	9	"66212"	53	3.7	1.46	5	1	4
38	"F"	18	4	"02215"	100	3.58	0.82	5	1	4
39	"M"	18	4	"61820"	62	3.56	1.25	5	1	4
40	"M"	45	0	"10543"	96	3.45	1.13	5	1	4
41	"F"	18	4	"15116"	25	3.48	1.58	5	1	4
42	"M"	25	8	"24502"	231	3.74	0.76	5	1	4
43	"M"	25	12	"60614"	24	4.12	0.95	5	1	4
44	"M"	45	17	"98052"	193	3.63	1.19	5	1	4
45	"F"	45	16	"94110"	297	2.95	1.12	5	1	3
46	"M"	18	19	"75602"	41	4.22	1.6	5	1	5
47	"M"	18	4	"94305"	22	3.91	0.75	5	2	4
48	"M"	25	4	"92107"	598	3.07	0.82	5	1	3
49	"M"	18	12	"77084"	108	3.71	0.87	5	1	4
50	"F"	25	2	"98133"	43	3.07	0.88	5	1	3
51	"F"	1	10	"10562"	40	3.83	0.93	5	1	4
52	"M"	18	4	"72212"	79	3.56	1.11	5	1	4
53	"M"	25	0	"96931"	684	4.24	0.95	5	1	5
54	"M"	50	1	"56723"	40	4.03	0.77	5	2	4
55	"F"	35	12	"55303"	25	4.12	0.83	5	3	4
56	"M"	35	20	"60440"	67	3.97	1.15	5	1	4
57	"M"	18	19	"30350"	64	2.91	1.43	5	1	3
58	"M"	25	2	"30303"	437	3.97	0.99	5	1	4
59	"F"	50	1	"55413"	213	3.47	0.83	5	1	4
60	"M"	50	1	"72118"	70	3.41	1.35	5	1	3
61	"M"	25	17	"95122"	36	2.78	1.05	4	1	3
62	"F"	35	3	"98105"	498	3.57	0.85	5	1	4
63	"M"	18	4	"54902"	98	3.43	1.25	5	1	4
64	"M"	18	1	"53706"	27	4.15	0.86	5	2	4
65	"M"	35	12	"55803"	121	4.35	0.81	5	1	5
66	"M"	25	18	"57706"	26	3.85	1.43	5	1	5
67	"F"	50	5	"60181"	64	4.3	0.81	5	2	4
68	"M"	18	4	"53706"	72	3.75	1.28	5	1	4
69	"F"	25	1	"02143"	65	4.15	1.05	5	1	4
70	"M"	18	4	"53703"	54	3.7	1.22	5	1	4
71	"M"	25	14	"95008"	29	3.76	0.74	5	2	4
72	"F"	45	0	"55122"	43	3.7	1.17	5	1	4
73	"M"	18	4	"53706"	255	3.36	1.05	5	1	3
74	"M"	35	14	"94530"	43	4.05	1.09	5	1	4
75	"F"	1	10	"01748"	175	4.01	1.02	5	1	4
76	"M"	35	7	"55413"	87	4.17	0.87	5	2	4
77	"M"	18	4	"15321"	39	2.95	1.21	5	1	3
78	"F"	45	1	"98029"	140	3.66	0.93	5	1	4
79	"F"	45	0	"98103"	31	3.65	1.14	5	1	4
80	"M"	56	1	"49327"	48	3.9	0.93	5	2	4
81	"F"	25	0	"60640"	86	4.42	1.05	5	1	5
82	"M"	25	17	"48380"	118	4.02	0.8	5	2	4
83	"F"	25	2	"94609"	99	3.58	1.37	5	1	4
84	"M"	18	4	"53140"	31	3.84	1.46	5	1	4
85	"M"	18	4	"94945"	39	3.1	1.27	5	1	3
86	"F"	1	10	"54467"	48	4.31	0.88	5	1	4.5
87	"M"	25	14	"48360"	59	2.81	1.86	5	1	3
88	"F"	45	1	"02476"	68	4.15	1.07	5	1	4
89	"F"	56	9	"85749"	21	3.24	1.7	5	1	4
90	"M"	56	13	"85749"	225	3.51	0.86	5	1	3
