	userID	nb.Ratings	mean	sd	max	min	med
1	196	39	3,62	1,02	5	1	4
2	186	92	3,41	1,22	5	1	4
3	22	128	3,35	1,49	5	1	4
4	244	238	3,65	1,07	5	1	4
5	166	20	3,55	1,43	5	1	4
6	298	127	4,03	0,82	5	2	4
7	115	92	3,93	1,17	5	1	4
8	253	97	3,98	0,96	5	1	4
9	305	222	3,41	1,08	5	1	3
10	6	211	3,64	1,04	5	1	4
11	62	232	3,3	1,11	5	1	3
12	286	288	3,71	1,16	5	1	4
13	200	216	4,03	0,86	5	2	4
14	210	132	4,06	0,82	5	2	4
15	224	141	2,99	1,1	5	1	3
16	303	484	3,37	1,23	5	1	4
17	122	61	3,98	0,97	5	1	4
18	194	305	2,96	1,02	5	1	3
19	291	296	3,69	1,03	5	1	4
20	234	480	3,12	0,92	5	1	3
21	119	181	3,95	1,01	5	1	4
22	167	69	3,38	1,46	5	1	4
23	299	280	3,46	0,91	5	1	4
24	308	397	3,76	0,77	5	1	4
25	95	278	3,42	1,13	5	1	4
26	38	121	3,72	1,6	5	1	5
27	102	216	2,62	0,74	4	1	3
28	63	93	3,12	0,99	5	1	3
29	160	120	3,92	1,01	5	1	4
30	50	24	3,54	1,38	5	1	4
31	301	275	3,53	0,97	5	1	4
32	225	27	4,52	0,85	5	2	5
33	290	150	3,35	0,91	5	1	3
34	97	63	4,16	1,14	5	1	5
35	157	51	3,78	1,24	5	1	4
36	181	435	1,49	0,85	5	1	1
37	278	23	4,26	0,92	5	2	5
38	276	518	3,47	1,02	5	1	4
39	7	403	3,97	1,06	5	1	4
40	10	184	4,21	0,58	5	3	4
41	284	47	3,55	0,8	5	2	3
42	201	386	3,03	1,05	5	1	3
43	287	62	4,11	1,03	5	1	4
44	246	195	2,93	1,32	5	1	3
45	242	20	4,45	0,76	5	3	5
46	249	161	4,11	0,86	5	1	4
47	99	136	3,55	1,09	5	1	4
48	178	273	3,68	0,95	5	1	4
49	251	77	3,79	0,92	5	2	4
50	81	58	3,29	1,11	5	1	3
51	260	24	4,04	1,12	5	1	4
52	25	78	4,05	0,62	5	2	4
53	59	382	3,93	1,06	5	1	4
54	72	137	3,82	1,05	5	1	4
55	87	211	3,79	0,93	5	1	4
56	42	183	3,73	1,06	5	1	4
57	292	124	4,23	0,8	5	2	4
58	20	48	3,1	1,15	5	1	3
59	13	636	3,1	1,42	5	1	3
60	138	51	4,27	0,67	5	2	4
61	60	208	4,09	0,63	5	2	4
62	57	106	3,5	1,03	5	1	3
63	223	105	3,03	1,3	5	1	3
64	189	187	3,98	1,07	5	1	4
65	243	81	3,64	0,83	5	1	4
66	92	388	3,24	0,97	5	1	3
67	241	23	3,43	1,04	5	2	3
68	254	159	3,05	1,04	5	1	3
69	293	388	3,03	1,04	5	1	3
70	127	23	4,13	1,52	5	1	5
71	222	387	3,05	1,19	5	1	3
72	267	185	3,94	0,89	5	1	4
73	11	181	3,46	0,93	5	1	3
74	8	59	3,8	1,24	5	1	4
75	162	42	3,6	0,73	5	2	4
76	279	434	3,27	1,2	5	1	3
77	145	316	3,34	1,31	5	1	3
78	28	79	3,72	0,96	5	1	4
79	135	55	3,38	0,78	5	1	4
80	32	41	3,32	0,91	5	1	3
81	90	300	4,22	0,93	5	1	4
82	216	131	3,8	1	5	1	4
83	250	122	3,79	1,06	5	1	4
84	271	278	3,58	1	5	1	4
85	265	46	3,57	1,13	5	1	4
86	198	181	3,28	0,97	5	1	3
87	168	69	3,33	1,4	5	1	4
88	110	133	3,05	0,86	5	1	3
89	58	154	3,84	1,23	5	1	4
90	237	48	4,15	0,68	5	2	4
91	94	400	3,66	1,02	5	1	4
92	128	184	3,66	1,02	5	1	4
93	44	151	3,65	1	5	1	4
94	264	120	4,22	1,01	5	1	5
95	41	52	3,77	0,81	5	2	4
96	82	168	3,07	1,19	5	1	3
97	262	160	3,17	0,83	5	1	3
98	174	177	3,58	1,58	5	1	4
99	43	221	3,71	1,02	5	1	4
100	84	68	3,85	0,8	5	2	4
101	269	323	3,01	1,41	5	1	3
102	259	46	3,87	0,78	5	2	4
103	85	288	3,54	0,81	5	1	4
104	213	126	4,23	0,87	5	1	4
105	121	74	3,61	1,33	5	1	4
106	49	215	2,68	1,25	5	1	3
107	155	22	2,64	0,85	5	2	2
108	68	34	3,03	1,6	5	1	3
109	172	27	3,19	0,88	5	1	3
110	19	20	3,55	0,83	5	2	4
111	268	328	2,94	1,1	5	1	3
112	5	175	2,87	1,36	5	1	3
113	80	29	3,76	1,02	5	1	4
114	66	38	3,47	1,03	5	1	4
115	18	277	3,88	0,85	5	2	4
116	26	107	2,94	0,86	5	1	3
117	130	353	3,99	0,98	5	1	4
118	256	207	3,99	0,95	5	1	4
119	1	272	3,61	1,26	5	1	4
120	56	187	3,64	0,94	5	1	4
121	15	104	2,88	1,34	5	1	3
122	207	230	3,23	0,83	5	1	3
123	232	93	3,9	0,9	5	1	4
124	52	56	4,27	0,73	5	2	4
125	161	58	2,55	1,13	5	1	2
126	148	65	4	1,27	5	1	4
127	125	182	3,44	1,3	5	1	3
128	83	155	3,42	1,12	5	1	4
129	272	51	4,33	0,89	5	1	5
130	151	307	4	1,04	5	1	4
131	54	65	3,69	1,14	5	1	4
132	16	140	4,33	1,04	5	1	5
133	91	98	3,89	1,03	5	1	4
134	294	150	3,47	0,95	5	1	3
135	229	30	2,73	1,46	5	1	3
136	36	20	3,8	1,28	5	1	4
137	70	131	3,47	0,82	5	1	4
138	14	98	4,09	1,04	5	1	4
