"movieID","nb.Ratings","mean","sd","max","min","med"
242,117,3.99,1,5,1,4
302,297,4.16,0.85,5,1,4
377,13,2.15,1.07,4,1,2
51,81,3.46,1.16,5,1,4
346,126,3.64,1.08,5,1,4
474,194,4.25,0.85,5,2,4
265,227,3.86,0.89,5,1,4
465,85,3.56,1.06,5,1,4
451,170,3.35,1.23,5,1,4
86,150,3.94,0.98,5,1,4
257,303,3.75,0.92,5,1,4
1014,98,3.06,1.03,5,1,3
222,365,3.66,0.93,5,1,4
40,57,2.89,1.11,5,1,3
29,114,2.67,1.03,5,1,3
785,39,3.15,0.99,5,1,3
387,65,3.38,1.01,5,1,3
274,190,3.5,0.96,5,1,4
1042,28,3.14,1.08,5,1,3
1184,10,2.5,1.27,5,1,3
392,68,3.54,1.01,5,1,4
486,64,3.8,0.88,5,1,4
144,243,3.87,0.94,5,1,4
118,293,3.22,1.11,5,1,3
1,452,3.88,0.93,5,1,4
546,254,3.03,1.01,5,1,3
95,219,3.81,0.91,5,1,4
768,52,3.08,1.03,5,1,3
277,71,3.46,1.08,5,1,4
234,280,3.77,0.99,5,1,4
246,124,3.94,1.02,5,1,4
98,390,4.29,0.84,5,1,4
193,157,3.92,0.77,5,2,4
88,213,3.54,1.01,5,1,4
194,241,4.06,0.83,5,1,4
1081,8,2.75,1.16,4,1,3
603,209,4.39,0.71,5,2,5
796,36,3.08,1,5,1,3
32,81,3.79,1.06,5,1,4
16,39,3.21,1.03,5,1,3
304,149,3.54,0.95,5,1,4
979,35,3.2,0.99,5,1,3
564,27,2.04,1.06,4,1,2
327,175,3.38,1.08,5,1,3
201,89,3.52,1.18,5,1,4
1137,29,3.97,1.05,5,1,4
241,128,3.55,1.06,5,1,4
4,209,3.55,0.97,5,1,4
332,143,3.46,0.96,5,1,4
100,508,4.16,0.98,5,1,4
432,174,3.77,1.11,5,1,4
322,218,3.09,0.98,5,1,3
181,507,4.01,0.92,5,1,4
196,251,3.92,0.9,5,1,4
679,107,3.05,1.04,5,1,3
384,69,2.78,1.01,5,1,3
143,222,3.77,1.16,5,1,4
423,300,3.83,1.04,5,1,4
515,201,4.2,0.9,5,1,4
20,72,3.42,1.23,5,1,4
288,478,3.44,1.11,5,1,4
219,111,3.17,1.31,5,1,3
526,124,3.83,0.95,5,1,4
919,96,3.79,1.2,5,1,4
26,73,3.45,0.9,5,1,3
232,101,3.21,0.89,5,1,3
427,219,4.29,0.74,5,1,4
512,57,4,1.12,5,1,4
15,293,3.78,0.98,5,1,4
1049,25,2.52,0.96,4,1,3
416,64,3.48,1.07,5,1,3.5
165,64,4.11,0.86,5,1,4
690,155,3.46,1.07,5,1,4
248,160,3.67,0.94,5,1,4
1444,19,2.47,0.96,4,1,3
5,86,3.3,0.95,5,1,3
229,171,3.11,0.96,5,1,3
237,384,3.71,0.94,5,1,4
480,179,4.28,0.71,5,2,4
54,104,3.24,0.83,5,1,3
366,47,3.34,1.01,5,1,3
518,89,3.65,1.02,5,1,4
403,201,3.43,0.95,5,1,4
